Property URL,Property type,Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/b/ch-mapleton-terrace-boulder-co-CgLPfN/","Building","","","","","","","2039 11th St","Boulder","80302","CO","USA"
"https://www.zillow.com/b/730-concord-boulder-co-5XtgN9/","Building","","","","","","","730 Concord Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1224-Jay-St-Boulder-CO-80302/13179170_zpid/","Single Family","3500","750","sqft","4.67","2","1","1224 Jay St","Boulder","80302","CO","USA"
"https://www.zillow.com/apartments/boulder-co/violet-on-broadway-apartment-homes/9hJsyW/","Building","","","","","","","4456 Broadway St","Boulder","80304","CO","USA"
"https://www.zillow.com/apartments/boulder-co/uptown-broadway/5dwg3C/","Building","","","","","","","4560 13th St","Boulder","80304","CO","USA"
"https://www.zillow.com/b/1135-pennsylvania-ave-boulder-co-5Xyfgv/","Building","","","","","","","1135 Pennsylvania Ave","Boulder","80302","CO","USA"
"https://www.zillow.com/b/building/40.02244,-105.269905_ll/","Building","","","","","","","2021 Pine St","Boulder","80302","CO","USA"
"https://www.zillow.com/apartments/boulder-co/view-house/5Yy7jr/","Building","","","","","","","949 Marine St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1115-Kalmia-Ave-Boulder-CO-80304/13183044_zpid/","Single Family","8900","5500","sqft","1.62","6","6","1115 Kalmia Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/b/2142-canyon-blvd-boulder-co-5cCLVB/","Building","","","","","","","2142 Canyon Blvd","Boulder","80302","CO","USA"
"https://www.zillow.com/b/1203-13th-st-boulder-co-5jH6fg/","Building","","","","","","","1203 13th St","Boulder","80302","CO","USA"
"https://www.zillow.com/b/2960-shadow-creek-dr-boulder-co-5YFcQn/","Building","","","","","","","2960 Shadow Creek Dr","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/805-29th-St-APT-251-Boulder-CO-80303/13227453_zpid/","Apartment","2705","864","sqft","3.13","2","1","805 29th St","Boulder","80303","CO","USA"
"https://www.zillow.com/apartments/boulder-co/reve-boulder/BPnsX6/","Building","","","","","","","3000 Pearl Pkwy","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/549-Coughlin-Meadows-Rd-Boulder-CO-80302/441206214_zpid/","Single Family","1475","578","sqft","2.55","1","1","549 Coughlin Meadows Rd","Boulder","80302","CO","USA"
"https://www.zillow.com/apartments/boulder-co/verdant/5XhvTg/","Building","","","","","","","4970 Meredith Way","Boulder","80303","CO","USA"
"https://www.zillow.com/apartments/boulder-co/two-nine-north/5XhvtP/","Building","","","","","","","1955 30th St","Boulder","80301","CO","USA"
"https://www.zillow.com/apartments/boulder-co/gunbarrel-center/5j4fcd/","Building","","","","","","","5340 Gunbarrel Center Ct","Boulder","80301","CO","USA"
"https://www.zillow.com/b/2800-kalmia-ave-boulder-co-ChXqcz/","Building","","","","","","","2800 Kalmia Ave","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/5070-Ralston-St-UNIT-G-Boulder-CO-80304/157718655_zpid/","Apartment","2600","980","sqft","2.65","2","2","5070 Ralston St UNIT G","Boulder","80304","CO","USA"
"https://www.zillow.com/b/building/40.000443,-105.26507_ll/","Building","","","","","","","2141 Baseline Rd","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2896-Springdale-Ln-Boulder-CO-80303/2091357149_zpid/","Apartment","4195","1700","sqft","2.47","3","3","2896 Springdale Ln","Boulder","80303","CO","USA"
