Property URL,Property type,Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/2950-13th-St-Boulder-CO-80304/2088246738_zpid/","Single Family","3400","650","sqft","5.23","2","1","2950 13th St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/220-High-View-Dr-Boulder-CO-80304/13197156_zpid/","Apartment","2750","1600","sqft","1.72","2","2","220 High View Dr","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2906-Shady-Holw-W-Boulder-CO-80304/13226339_zpid/","Apartment","4500","1376","sqft","3.27","2","2","2906 Shady Holw W","Boulder","80304","CO","USA"
"https://www.zillow.com/b/1725-15th-st-boulder-co-9LfknQ/","Apartment","1545","375","sqft","4.12","0","1","1725 15th St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2005-Goss-St-APT-4-Boulder-CO-80302/2091574670_zpid/","Apartment","1550","336","sqft","4.61","1","1","2005 Goss St","Boulder","80302","CO","USA"
"https://www.zillow.com/b/1110-1116-13th-street-boulder-co-Bmky6m/","Building","","","","","","","1110 13th St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/209-Anemone-Dr-Boulder-CO-80302/13196464_zpid/","Single Family","3950","2268","sqft","1.74","4","3","209 Anemone Dr","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/860-W-Moorhead-Cir-Boulder-CO-80305/2112617628_zpid/","Apartment","1950","760","sqft","2.57","2","2","860 W Moorhead Cir","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/7051-Indian-Peaks-Trl-Boulder-CO-80301/13199354_zpid/","Single Family","8500","2000","sqft","4.25","2","3","7051 Indian Peaks Trl","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/Boulder-CO-80304/13234027_zpid/","Single Family","4200","1608","sqft","2.61","4","2","","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/4170-Monroe-Dr-APT-B-Boulder-CO-80303/13216628_zpid/","Townhouse","2500","1056","sqft","2.37","2","2","4170 Monroe Dr APT B","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/2260-Spruce-St-APT-B-Boulder-CO-80302/13237687_zpid/","Apartment","2850","740","sqft","3.85","1","1","2260 Spruce St APT B","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/4625-Talbot-Dr-B-Boulder-CO-80303/352496892_zpid/","Apartment","2950","770","sqft","3.83","1","2","4625 Talbot Dr","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/Boulder-CO-80302/13241042_zpid/","Apartment","2450","880","sqft","2.78","1","1","","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/774-17th-St-Boulder-CO-80302/13177935_zpid/","Single Family","2800","700","sqft","4","2","1","774 17th St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2155-Vine-Ave-Boulder-CO-80304/335666817_zpid/","Single Family","11000","3196","sqft","3.44","5","5","2155 Vine Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/4757-Qualla-Dr-4755-Boulder-CO-80303/2058345534_zpid/","Townhouse","2950","1000","sqft","2.95","2","2","4757 Qualla Dr","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/525-Manhattan-Dr-APT-101-Boulder-CO-80303/13230650_zpid/","Apartment","4200","2166","sqft","1.94","4","3","525 Manhattan Dr","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/929-Maxwell-Ave-APT-1-Boulder-CO-80304/2108464371_zpid/","Apartment","4950","1600","sqft","3.09","3","2","929 Maxwell Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2216-Goss-Cir-E-APT-3-Boulder-CO-80302/2096773827_zpid/","Townhouse","2450","650","sqft","3.77","1","1","2216 Goss Cir E","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2026-Baseline-Rd-Boulder-CO-80302/13177968_zpid/","Single Family","4500","1040","sqft","4.33","3","1","2026 Baseline Rd","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2931-N-107th-St-Lafayette-CO-80026/13198192_zpid/","Single Family","2850","2588","sqft","1.1","2","2","2931 N 107th St","Lafayette","80026","CO","USA"
"https://www.zillow.com/homedetails/2850-Aurora-Ave-Boulder-CO-80303/2103822176_zpid/","Apartment","2400","990","sqft","2.42","2","2","2850 Aurora Ave","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/306-27th-St-Boulder-CO-80305/13176496_zpid/","Single Family","3700","1300","sqft","2.85","3","1","306 27th St","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/1904-Pine-St-Boulder-CO-80302/13178032_zpid/","Apartment","7200","2250","sqft","3.2","6","2","1904 Pine St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2518-Pine-St-Boulder-CO-80302/13180413_zpid/","Apartment","1450","","","","0","1","2518 Pine St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2136-Baseline-Rd-Boulder-CO-80302/13179592_zpid/","Townhouse","6280","1400","sqft","4.49","4","2","2136 Baseline Rd","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/4520-Broadway-St-UNIT-208-Boulder-CO-80304/63896772_zpid/","Apartment","3800","1453","sqft","2.62","2","2","4520 Broadway St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/961-16th-St-APT-5-Boulder-CO-80302/59999076_zpid/","Apartment","2100","610","sqft","3.44","1","1","961 16th St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1634-17th-St-APT-8-Boulder-CO-80302/67150311_zpid/","Apartment","2200","472","sqft","4.66","1","1","1634 17th St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/920-Hartford-Dr-Boulder-CO-80305/13186746_zpid/","Single Family","4650","2456","sqft","1.89","4","3","920 Hartford Dr","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/4713-Spine-Rd-APT-B-Boulder-CO-80301/13231627_zpid/","Apartment","2150","1050","sqft","2.05","2","2","4713 Spine Rd APT B","Boulder","80301","CO","USA"
"https://www.zillow.com/b/hunter-creek-condominiums-2nd-boulder-co-5j4fqn/","Building","","","","","","","4654 White Rock Cir","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/815-17th-St-Boulder-CO-80302/2103822154_zpid/","Single Family","7180","1900","sqft","3.78","4","2","815 17th St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2890-Pennsylvania-Ave-Boulder-CO-80303/13179516_zpid/","Single Family","8400","2450","sqft","3.43","6","2","2890 Pennsylvania Ave","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/3545-28th-St-APT-101-Boulder-CO-80301/13236689_zpid/","Apartment","1750","830","sqft","2.11","2","2","3545 28th St","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/2118-Pearl-St-B-Boulder-CO-80302/316849074_zpid/","Townhouse","7800","1800","sqft","4.33","3","4","2118 Pearl St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2227-Canyon-Blvd-APT-260B-Boulder-CO-80302/13224905_zpid/","Condominium","1999","923","sqft","2.17","2","1","2227 Canyon Blvd","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/4444-Glencove-Pl-Boulder-CO-80301/13199952_zpid/","Single Family","2900","1600","sqft","1.81","3","2","4444 Glencove Pl","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/1110-1112-6th-St-Boulder-CO-80302/2061862094_zpid/","Townhouse","10500","2500","sqft","4.2","7","3","1110 6th St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2890-Shadow-Creek-Dr-APT-108-Boulder-CO-80303/13239385_zpid/","Apartment","2345","934","sqft","2.51","2","2","2890 Shadow Creek Dr","Boulder","80303","CO","USA"
