Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/3009-Madison-Ave-K-418-Boulder-CO-80303/442188135_zpid/","","Townhouse","200000","11/22/24","636","sqft","314.47","1","sqft","1","1","3009 Madison Ave K-418","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/700-Pearl-St-1-2-Boulder-CO-80302/2056098715_zpid/","","Townhouse","2750000","11/22/24","2208","sqft","1245.47","","","2","2","700 Pearl St UNIT 1 & 2","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/916-Juniper-Ave-Boulder-CO-80304/13176792_zpid/","","Single Family","10000000","11/21/24","6671","sqft","1499.03","0.7","acres","4","7","916 Juniper Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2025-Grape-Ave-Boulder-CO-80304/13177131_zpid/","","Single Family","1060000","11/21/24","1794","sqft","590.86","10019","sqft","3","2","2025 Grape Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2625-Mapleton-Ave-Boulder-CO-80304/13178619_zpid/","","Single Family","880000","11/21/24","1043","sqft","843.72","8834","sqft","2","1","2625 Mapleton Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1064-10th-St-Boulder-CO-80302/13180667_zpid/","","Single Family","2450000","11/21/24","3407","sqft","719.11","9142","sqft","5","3","1064 10th St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1295-Aikins-Way-Boulder-CO-80305/13188302_zpid/","","Single Family","1130000","11/21/24","2080","sqft","543.27","7072","sqft","4","3","1295 Aikins Way","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/4789-Briar-Ridge-Trl-Boulder-CO-80301/13199791_zpid/","","Single Family","1100000","11/21/24","3549","sqft","309.95","0.45","acres","4","4","4789 Briar Ridge Trl","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/2610-Iris-Ave-APT-102-Boulder-CO-80304/50944492_zpid/","","Condominium","360000","11/21/24","821","sqft","438.49","","","1","1","2610 Iris Avenue  Unit 102","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2510-Taft-Dr-APT-305-Boulder-CO-80302/61632978_zpid/","","Townhouse","217500","11/21/24","1053","sqft","206.55","1.51","acres","2","2","2510 Taft Dr UNIT 305","Boulder","80302","CO","USA"
