Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Date listed (MM/DD/YYYY),Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/20-S-Boulder-Cir-APT-2114-Boulder-CO-80303/13255063_zpid/","","Condo for sale","Condominium","109","08/18/2024","372500","Yes","27500","11/21/2024","869","sqft","428.65","","","2","2","20 S Boulder Circle  Unit 2114","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/2962-Shadow-Creek-Dr-APT-105-Boulder-CO-80303/13240539_zpid/","","Townhouse for sale","Townhouse","112","08/15/2024","520000","Yes","7500","11/20/2024","794","sqft","654.91","","","2","1","2962 Shadow Creek Dr 105","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/6319-Sunshine-Canyon-Dr-Boulder-CO-80302/339033400_zpid/","","Lot / Land for sale","Lot/Land","113","08/14/2024","315000","No","","","","","","1.85","acres","","","6319 Sunshine Canyon Dr","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/3515-28th-St-APT-105-Boulder-CO-80301/13234458_zpid/","","Townhouse for sale","Townhouse","113","08/14/2024","235000","Yes","5000","11/15/2024","748","sqft","314.17","","","2","1","3515 28th St UNIT 105","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/6903-Valmont-Rd-Boulder-CO-80301/13198524_zpid/","","House for sale","Single Family","113","08/14/2024","1093000","Yes","46000","08/14/2024","967","sqft","1130.3","2.6","acres","3","1","6903 Valmont Rd","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/7451-Spy-Glass-Ct-Boulder-CO-80301/402472844_zpid/","","Condo for sale","Condominium","113","08/14/2024","398000","Yes","47000","11/15/2024","975","sqft","408.21","","","2","2","7451 Spy Glass Court","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/1125-Edinboro-Dr-Boulder-CO-80305/13185689_zpid/","","House for sale","Single Family","113","08/14/2024","840000","Yes","20000","11/12/2024","960","sqft","875","6925","sqft","3","2","1125 Edinboro Drive","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/1842-Canyon-Blvd-APT-211-Boulder-CO-80302/13227861_zpid/","","Apartment for sale","Unknown","114","08/13/2024","380000","No","","","645","sqft","589.15","0.57","acres","1","1","1842 Canyon Blvd UNIT 211","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/160-Ponderosa-Dr-Boulder-CO-80303/13197826_zpid/","","House for sale","Single Family","114","08/13/2024","5450000","Yes","200000","10/10/2024","6362","sqft","856.65","7.89","acres","4","5","160 Ponderosa Dr","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/302-Deer-Trail-Cir-Boulder-CO-80302/13191770_zpid/","","House for sale","Single Family","118","08/09/2024","1350000","No","","","2284","sqft","591.07","1","acres","3","2","302 Deer Trail Cir","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/4663-Quail-Creek-Ln-Boulder-CO-80301/13229934_zpid/","","House for sale","Single Family","118","08/09/2024","1135000","No","","","2859","sqft","396.99","0.29","acres","5","4","4663 Quail Creek Ln","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/820-6th-St-Boulder-CO-80302/13176952_zpid/","","House for sale","Single Family","118","08/09/2024","4750000","Yes","215000","09/04/2024","5043","sqft","941.9","0.26","acres","5","5","820 6th St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/4500-19th-St-LOT-42-Boulder-CO-80304/13263393_zpid/","","Home for sale","Manufactured","118","08/09/2024","50275","Yes","4724","11/17/2024","780","sqft","64.46","","","2","2","4500 19th St #42","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2707-Valmont-Rd-B-310-Boulder-CO-80304/421797604_zpid/","","Condo for sale","Condominium","119","08/08/2024","270000","No","","","576","sqft","468.75","","","1","1","2707 Valmont Rd B-310","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/600-Manhattan-Dr-APT-B6-Boulder-CO-80303/2076526125_zpid/","","Condo for sale","Condominium","119","08/08/2024","409000","Yes","10000","11/07/2024","1128","sqft","362.59","","","2","2","600 Manhattan Dr UNIT B6","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/1077-Laramie-Blvd-UNIT-F-Boulder-CO-80304/59986497_zpid/","","Condo for sale","Condominium","119","08/08/2024","585000","Yes","40000","08/30/2024","1250","sqft","468","","","2","3","1077 Laramie Blvd UNIT F","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/3870-Broadway-St-APT-12-Boulder-CO-80304/13222564_zpid/","","Condo for sale","Condominium","119","08/08/2024","635000","Yes","15000","09/27/2024","1488","sqft","426.75","2.76","acres","3","3","3870 Broadway St UNIT 12","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1319-County-Road-83-Boulder-CO-80302/13242068_zpid/","","House for sale","Single Family","119","08/08/2024","1100000","Yes","99900","10/01/2024","3259","sqft","337.53","3.77","acres","3","2","1319 County Road 83","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/503-Hawthorn-Ave-Boulder-CO-80304/71347290_zpid/","","New construction","Single Family","120","08/07/2024","5899000","No","","","5670","sqft","1040.39","10761","sqft","6","6","503 Hawthorn Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/3015-Jefferson-St-Boulder-CO-80304/13183351_zpid/","","House for sale","Single Family","120","08/07/2024","3250000","Yes","225000","09/25/2024","4914","sqft","661.38","8292","sqft","5","4","3015 Jefferson St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2850-Aurora-Ave-APT-112-Boulder-CO-80303/13252980_zpid/","","Townhouse for sale","Townhouse","120","08/07/2024","340000","No","","","443","sqft","767.49","","","1","1","2850 Aurora Ave UNIT 112","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/2850-Aurora-Ave-APT-106-Boulder-CO-80303/13252974_zpid/","","Townhouse for sale","Townhouse","120","08/07/2024","325000","No","","","443","sqft","733.63","","","1","1","2850 Aurora Ave UNIT 106","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/820-8th-St-Boulder-CO-80302/13179197_zpid/","","House for sale","Single Family","120","08/07/2024","4950000","No","","","6446","sqft","767.92","9539","sqft","6","7","820 8th St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/4837-White-Rock-Cir-APT-G-Boulder-CO-80301/13234060_zpid/","","Townhouse for sale","Townhouse","120","08/07/2024","399900","Yes","15100","08/07/2024","802","sqft","498.63","","","2","2","4837 White Rock Cir UNIT G","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/1908-23rd-St-Boulder-CO-80302/316849066_zpid/","","Condo for sale","Condominium","122","08/05/2024","1729000","Yes","66000","12/05/2024","2011","sqft","859.77","","","3","4","1908 23rd St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1843-1845-Spruce-St-Boulder-CO-80302/413455976_zpid/","","Multi-family home for sale","Multi Family","122","08/05/2024","2250000","Yes","50000","11/25/2024","3654","sqft","615.76","","","4","3","1843-1845 Spruce Street","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/3701-Arapahoe-Ave-UNIT-106-Boulder-CO-80303/87806378_zpid/","","Condo for sale","Condominium","124","08/03/2024","675000","Yes","20000","10/15/2024","1055","sqft","639.81","","","1","1","3701 Arapahoe Avenue  Unit 106","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/2135-Vine-Ave-Boulder-CO-80304/335666816_zpid/","","New construction","Single Family","125","08/02/2024","2695000","Yes","90000","09/26/2024","4880","sqft","552.25","7693","sqft","5","5","2135 Vine Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/420-Oakwood-Pl-Boulder-CO-80304/13224467_zpid/","","House for sale","Single Family","125","08/02/2024","1695000","Yes","20000","10/22/2024","2563","sqft","661.33","5128","sqft","3","4","420 Oakwood Pl","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1777-Yellow-Pine-Ave-Boulder-CO-80304/67150773_zpid/","","Townhouse for sale","Townhouse","125","08/02/2024","720000","No","","","1168","sqft","616.44","","","2","2","1777 Yellow Pine Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/138-Palamino-Ln-Boulder-CO-80302/109689852_zpid/","","New construction","Single Family","125","08/02/2024","870000","No","","","1732","sqft","502.31","1.05","acres","2","2","138 Palamino Ln","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/208-Wild-Tiger-Rd-Boulder-CO-80302/13192837_zpid/","","House for sale","Single Family","126","08/01/2024","1070000","Yes","15000","10/26/2024","3105","sqft","344.61","1.02","acres","4","3","208 Wild Tiger Rd","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/5397-Lookout-Ridge-Dr-Boulder-CO-80301/13242532_zpid/","","House for sale","Single Family","126","08/01/2024","1795000","Yes","100000","09/05/2024","6138","sqft","292.44","2.74","acres","4","3","5397 Lookout Ridge Dr","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/605-Alpine-Ave-Boulder-CO-80304/13182051_zpid/","","House for sale","Single Family","126","08/01/2024","1425000","No","","","2016","sqft","706.85","8220","sqft","4","2","605 Alpine Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/162-Alaska-Rd-Boulder-CO-80302/13220091_zpid/","","House for sale","Single Family","127","07/31/2024","899000","Yes","1000","09/19/2024","2822","sqft","318.57","1.47","acres","3","2","162 Alaska Rd","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/500-Manhattan-Dr-APT-C2-Boulder-CO-80303/13220500_zpid/","","Townhouse for sale","Townhouse","128","07/30/2024","430000","No","","","1112","sqft","386.69","","","2","2","500 Manhattan Dr C-2","Boulder","80303","CO","USA"
