Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Date listed (MM/DD/YYYY),Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/100-Canon-Park-Boulder-CO-80302/13196452_zpid/","","House for sale","Single Family","0","12/05/2024","925000","No","","","1688","sqft","547.99","7520","sqft","2","2","100 Canon Park","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1707-Walnut-St-APT-205-Boulder-CO-80302/2103511703_zpid/","","Condo for sale","Condominium","0","12/05/2024","975000","No","","","953","sqft","1023.08","","","2","2","1707 Walnut St UNIT 205","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2975-Juilliard-St-Boulder-CO-80305/13187036_zpid/","","Coming soon","Single Family","0","12/05/2024","1895000","No","","","2896","sqft","654.35","0.25","acres","5","3","2975 Juilliard Street","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/1265-1267-Balsam-Ave-Boulder-CO-80304/2055281124_zpid/","","Multi-family home for sale","Multi Family","2","12/03/2024","1550000","No","","","1552","sqft","998.71","9142","sqft","3","2","1265-1267 Balsam Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/4828-Twin-Lakes-Rd-APT-6-Boulder-CO-80301/50945060_zpid/","","Condo for sale","Condominium","2","12/03/2024","359000","No","","","762","sqft","471.13","","","1","1","4828 Twin Lakes Rd UNIT 6","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/1707-Walnut-St-APT-308-Boulder-CO-80302/2103511916_zpid/","","Condo for sale","Condominium","2","12/03/2024","860000","No","","","860","sqft","1000","","","1","1","1707 Walnut St UNIT 308","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1707-Walnut-St-APT-207-Boulder-CO-80302/2099855595_zpid/","","Condo for sale","Condominium","2","12/03/2024","760000","No","","","760","sqft","1000","","","1","1","1707 Walnut St UNIT 207","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/5122-Williams-Fork-Trl-APT-109-Boulder-CO-80301/13227663_zpid/","","Townhouse for sale","Townhouse","2","12/03/2024","365000","No","","","1350","sqft","270.37","","","3","2","5122 Williams Fork Trl UNIT 109","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/133-Mine-Ln-Boulder-CO-80302/13191855_zpid/","","House for sale","Single Family","3","12/02/2024","1495000","No","","","4082","sqft","366.24","4","acres","4","4","133 Mine Ln","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1850-Folsom-St-APT-611-Boulder-CO-80302/13223532_zpid/","","Townhouse for sale","Townhouse","3","12/02/2024","565000","No","","","1357","sqft","416.36","","","2","2","1850 Folsom St UNIT 611","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/5520-Stonewall-Pl-APT-31-Boulder-CO-80303/13252009_zpid/","","Condo for sale","Condominium","6","11/29/2024","425000","No","","","859","sqft","494.76","","","2","2","5520 Stonewall Pl UNIT 31","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/7452-Singing-Hills-Dr-Boulder-CO-80301/13252885_zpid/","","Townhouse for sale","Townhouse","7","11/28/2024","445000","No","","","965","sqft","461.14","8.3","acres","2","2","7452 Singing Hills Dr","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/1480-Lee-Hill-Dr-2-Boulder-CO-80304/63505473_zpid/","","Condo for sale","Condominium","9","11/26/2024","240370","No","","","1057","sqft","227.41","","","2","2","1480 Lee Hill Dr UNIT 2","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/903-18th-St-APT-302-Boulder-CO-80302/13241763_zpid/","","Condo for sale","Condominium","9","11/26/2024","1050000","No","","","1333","sqft","787.7","","","4","4","903 18th St UNIT 302","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/695-Manhattan-Dr-APT-110-Boulder-CO-80303/13229652_zpid/","","Condo for sale","Condominium","9","11/26/2024","389000","No","","","880","sqft","442.05","880","sqft","2","2","695 Manhattan Dr UNIT 110","Boulder","80303","CO","USA"
