Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Date listed (MM/DD/YYYY),Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/1714-Pine-St-Boulder-CO-80302/13176746_zpid/","","House for sale","Single Family","24","11/11/2024","1650000","Yes","99000","11/22/2024","2111","sqft","781.62","5202","sqft","5","3","1714 Pine St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/6722-Lakeview-Dr-Boulder-CO-80303/13198759_zpid/","","House for sale","Single Family","26","11/09/2024","1295000","No","","","2378","sqft","544.58","1.17","acres","3","3","6722 Lakeview Dr","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/280-Alder-Ln-Boulder-CO-80304/13196932_zpid/","","House for sale","Single Family","27","11/08/2024","6400000","No","","","6037","sqft","1060.13","1.52","acres","4","4","280 Alder Ln","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/4324-Fourmile-Canyon-Dr-Boulder-CO-80302/147268649_zpid/","","Lot / Land for sale","Lot/Land","27","11/08/2024","120000","No","","","","","","2.48","acres","","","4324 Fourmile Canyon Dr","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/4009-Wonderland-Hill-Ave-Boulder-CO-80304/13219833_zpid/","","Townhouse for sale","Townhouse","27","11/08/2024","990000","Yes","100000","11/19/2024","1936","sqft","511.36","","","4","2","4009 Wonderland Hill Avenue","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/3003-Valmont-Rd-LOT-84-Boulder-CO-80301/13264142_zpid/","","Home for sale","Manufactured","27","11/08/2024","110000","No","","","1078","sqft","102.04","","","3","2","3003 Valmont Road  Lot 84","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/2625-6th-St-Boulder-CO-80304/13177346_zpid/","","House for sale","Single Family","27","11/08/2024","2095000","Yes","105000","11/21/2024","1958","sqft","1069.97","6421","sqft","4","3","2625 6th St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/5958-Gunbarrel-Ave-APT-G-Boulder-CO-80301/13242301_zpid/","","Condo for sale","Condominium","27","11/08/2024","475000","No","","","1051","sqft","451.95","","","2","2","5958 Gunbarrel Ave UNIT G","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/6889-Frying-Pan-Rd-Boulder-CO-80301/13195508_zpid/","","House for sale","Single Family","28","11/07/2024","1500000","No","","","3528","sqft","425.17","0.29","acres","5","5","6889 Frying Pan Road","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/2810-E-College-Ave-UNIT-102-Boulder-CO-80303/90147594_zpid/","","Townhouse for sale","Townhouse","28","11/07/2024","495000","No","","","792","sqft","625","","","1","1","2810 E COLLEGE Ave UNIT 102","Boulder","80303","CO","USA"
