Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Date listed (MM/DD/YYYY),Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/695-Cutter-Ln-Boulder-CO-80302/109687289_zpid/","","Lot / Land for sale","Lot/Land","253","03/27/2024","1095000","No","","","","","","17.88","acres","","","695 Cutter Ln","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1655-Walnut-St-STE-309-Boulder-CO-80302/88906621_zpid/","","Condo for sale","Condominium","260","03/20/2024","1845000","Yes","50000","10/31/2024","2181","sqft","845.94","","","2","3","1655 Walnut St UNIT 309","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/3701-Arapahoe-Ave-317-Boulder-CO-80303/87807726_zpid/","","Condo for sale","Condominium","262","03/18/2024","569000","Yes","10900","09/20/2024","752","sqft","756.65","","","1","1","3701 Arapahoe Ave UNIT 317","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/9657-Mountain-Ridge-Pl-8-Boulder-CO-80302/345025984_zpid/","","Lot / Land for sale","Lot/Land","262","03/18/2024","750000","No","","","","","","2.81","acres","","","9657 Mountain Ridge Place  Lot 8","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1855-Folsom-St-Boulder-CO-80302/345009535_zpid/","","Lot / Land for sale","Lot/Land","262","03/18/2024","1475000","No","","","","","","0.67","acres","","","1855 Folsom St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/9657-Mountain-Ridge-Pl-Boulder-CO-80302/13243715_zpid/","","Lot / Land for sale","Lot/Land","264","03/16/2024","750000","No","","","","","","2.81","acres","","","9657 Mountain Ridge Pl","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1417-Rembrandt-Rd-Boulder-CO-80302/13247678_zpid/","","House for sale","Single Family","268","03/12/2024","2750000","Yes","150000","07/14/2024","5530","sqft","497.29","35","acres","3","4","1417 Rembrandt Rd","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/3600-Hayden-Pl-Boulder-CO-80301/2067943203_zpid/","","Multi-family home for sale","Multi Family","269","03/11/2024","1950000","No","","","3168","sqft","615.53","0.28","acres","6","6","3600 Hayden Pl","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/1831-Norwood-Ave-Boulder-CO-80304/13178821_zpid/","","New construction","Single Family","273","03/07/2024","4300000","No","","","5496","sqft","782.39","9077","sqft","5","7","1831 Norwood Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1850-Folsom-St-APT-411-Boulder-CO-80302/13223508_zpid/","","Condo for sale","Condominium","282","02/27/2024","525000","Yes","15000","08/07/2024","1357","sqft","386.88","","","2","2","1850 Folsom Street  Unit 411","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/4893-Broadway-St-Boulder-CO-80304/2146824369_zpid/","","Lot / Land for sale","Lot/Land","286","02/23/2024","2500000","No","","","","","","0.98","acres","","","4893 Broadway St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/465-Marine-St-Boulder-CO-80302/13178381_zpid/","","House for sale","Single Family","288","02/21/2024","2999000","Yes","201000","10/18/2024","3501","sqft","856.61","4358","sqft","4","5","465 Marine St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/824-Juniper-Ave-Boulder-CO-80304/13176688_zpid/","","House for sale","Single Family","289","02/20/2024","3850000","Yes","250000","11/16/2024","5519","sqft","697.59","0.47","acres","5","5","824 Juniper Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/11780-Gold-Hill-Rd-Boulder-CO-80302/109688034_zpid/","","House for sale","Single Family","301","02/08/2024","7500000","No","","","11116","sqft","674.7","108","acres","5","7","11780 Gold Hill Rd","Boulder","80302","CO","USA"
