Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Date listed (MM/DD/YYYY),Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/1445-Moss-Rock-Pl-Boulder-CO-80304/13180631_zpid/","","House for sale","Single Family","40","10/26/2024","5495000","No","","","4359","sqft","1260.61","9921","sqft","4","4","1445 Moss Rock Pl","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1050-Berea-Dr-Boulder-CO-80305/13184602_zpid/","","House for sale","Single Family","41","10/25/2024","1550000","No","","","3353","sqft","462.27","7711","sqft","5","4","1050 Berea Dr","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/2930-Broadway-St-UNIT-205-Boulder-CO-80304/2094225120_zpid/","","Condo for sale","Condominium","41","10/25/2024","1030000","Yes","20000","11/30/2024","1122","sqft","918","","","2","2","2930 Broadway St UNIT 205","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/342-Brook-Cir-Boulder-CO-80302/13196656_zpid/","","House for sale","Single Family","41","10/25/2024","898000","Yes","1000","12/03/2024","1663","sqft","539.99","1.16","acres","3","3","342 Brook Cir","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/624-Pearl-St-APT-301-Boulder-CO-80302/13240216_zpid/","","Condo for sale","Condominium","41","10/25/2024","1025000","No","","","1070","sqft","957.94","","","2","2","624 Pearl Street  Unit 301","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/975-37th-St-Boulder-CO-80303/13184733_zpid/","","House for sale","Single Family","41","10/25/2024","649000","Yes","26000","12/02/2024","1026","sqft","632.55","6970","sqft","3","1","975 37th St","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/4222-Corriente-Pl-Boulder-CO-80301/13224059_zpid/","","Townhouse for sale","Townhouse","41","10/25/2024","750000","No","","","1524","sqft","492.13","1462","sqft","3","2","4222 Corriente Pl","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/3240-Iris-Ave-G201-Boulder-CO-80301/13223279_zpid/","","Condo for sale","Condominium","41","10/25/2024","415000","Yes","5000","12/04/2024","988","sqft","420.04","","","2","2","3240 Iris Avenue  Unit G201","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/7439-Mount-Meeker-Rd-Longmont-CO-80503/13212261_zpid/","","House for sale","Single Family","41","10/25/2024","1225000","Yes","25000","12/05/2024","3166","sqft","386.92","0.3","acres","5","3","7439 Mount Meeker Rd","Longmont","80503","CO","USA"
"https://www.zillow.com/homedetails/2055-Glenwood-Dr-Boulder-CO-80304/13183517_zpid/","","House for sale","Single Family","42","10/24/2024","1350000","No","","","1684","sqft","801.66","7845","sqft","3","2","2055 Glenwood Dr","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/104-Old-Sunshine-Trl-Boulder-CO-80302/13192472_zpid/","","House for sale","Single Family","42","10/24/2024","3500000","No","","","4328","sqft","808.69","1.63","acres","5","4","104 Old Sunshine Trail","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1258-Oakleaf-Cir-Boulder-CO-80304/13196133_zpid/","","House for sale","Single Family","42","10/24/2024","1650000","No","","","3812","sqft","432.84","0.26","acres","4","4","1258 Oakleaf Cir","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1707-Walnut-St-APT-208-Boulder-CO-80302/2103469728_zpid/","","Condo for sale","Condominium","42","10/24/2024","843000","No","","","843","sqft","1000","","","1","1","1707 Walnut St UNIT 208","Boulder","80302","CO","USA"
