Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Date listed (MM/DD/YYYY),Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/1709-Alpine-Ave-6-Boulder-CO-80304/13229774_zpid/","","Condo for sale","Condominium","132","07/26/2024","989000","Yes","111000","10/16/2024","1512","sqft","654.1","","","2","3","1709 Alpine Ave UNIT 6","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/3300-Madison-Ave-Boulder-CO-80303/402416970_zpid/","","Multi-family home for sale","Multi Family","133","07/25/2024","1900000","No","","","4160","sqft","456.73","6640","sqft","8","4","3300 Madison Ave","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/105-Millionaire-Dr-E-Boulder-CO-80302/2077231024_zpid/","","Lot / Land for sale","Lot/Land","133","07/25/2024","200000","No","","","","","","5.95","acres","","","105 Millionaire Dr E","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1530-Lee-Hill-Dr-4-Boulder-CO-80304/63505481_zpid/","","Condo for sale","Condominium","133","07/25/2024","599000","Yes","26000","09/24/2024","922","sqft","649.67","","","2","2","1530 Lee Hill Dr UNIT 4","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2530-28th-St-118-Boulder-CO-80301/296358060_zpid/","","Townhouse for sale","Townhouse","134","07/24/2024","799500","No","","","1294","sqft","617.85","0.82","acres","2","2","2530 28th Street  Unit 118","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/2725-5th-St-Boulder-CO-80304/13220011_zpid/","","House for sale","Single Family","135","07/23/2024","1050000","Yes","20000","11/22/2024","1214","sqft","864.91","7046","sqft","3","2","2725 5th St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2728-Northbrook-Pl-Boulder-CO-80304/13226588_zpid/","","Townhouse for sale","Townhouse","137","07/21/2024","829000","Yes","6000","12/02/2024","2100","sqft","394.76","3342","sqft","3","3","2728 Northbrook Pl","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/228-Alpine-Way-Boulder-CO-80304/13197186_zpid/","","House for sale","Single Family","138","07/20/2024","2280000","No","","","2402","sqft","949.21","1.75","acres","4","3","228 Alpine Way","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/819-Spruce-St-Boulder-CO-80302/13181919_zpid/","","House for sale","Single Family","139","07/19/2024","3400000","Yes","500000","08/15/2024","3659","sqft","929.22","6726","sqft","5","5","819 Spruce St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1145-Timber-Ln-Boulder-CO-80304/13197082_zpid/","","House for sale","Single Family","139","07/19/2024","6350000","No","","","4021","sqft","1579.21","1.75","acres","4","5","1145 Timber Ln","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1055-Edinboro-Dr-Boulder-CO-80305/13186003_zpid/","","House for sale","Single Family","140","07/18/2024","1225000","Yes","60000","11/08/2024","2123","sqft","577.01","7877","sqft","4","3","1055 Edinboro Dr","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/4632-14th-St-Boulder-CO-80304/50944453_zpid/","","Townhouse for sale","Townhouse","140","07/18/2024","699000","Yes","24000","11/15/2024","1421","sqft","491.91","","","3","2","4632 14th Street","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/3355-Talisman-Ct-APT-C-Boulder-CO-80301/13222121_zpid/","","Townhouse for sale","Townhouse","140","07/18/2024","459900","Yes","10000","09/16/2024","968","sqft","475.1","","","2","2","3355 Talisman Court  Unit C","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/772-Cherryvale-Rd-Boulder-CO-80303/13198068_zpid/","","House for sale","Single Family","141","07/17/2024","850000","Yes","49000","07/25/2024","1860","sqft","456.99","0.56","acres","3","2","772 S Cherryvale Rd","Boulder","80303","CO","USA"
