Property URL,Property type,Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/b/villas-condominiums-boulder-co-5YFXLb/","Building","","","","","","","4415 Laguna Pl","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/2850-Elm-Ave-Boulder-CO-80305/443111077_zpid/","Single Family","3300","1100","sqft","3","3","2","2850 Elm Ave","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/130-S-Lashley-Ln-Boulder-CO-80305/13178524_zpid/","Single Family","2995","","","","3","1","130 S Lashley Ln","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/365-30th-St-Boulder-CO-80305/13182587_zpid/","Single Family","3200","1100","sqft","2.91","3","1","365 30th St","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/1518-9th-St-Boulder-CO-80302/13182139_zpid/","Single Family","4800","1300","sqft","3.69","3","2","1518 9th St","Boulder","80302","CO","USA"
"https://www.zillow.com/b/965-30th-street-d-boulder-co-5fwrZv/","Building","","","","","","","965 30th St","Boulder","80303","CO","USA"
"https://www.zillow.com/b/1185-35th-street-1-boulder-co-5fwqj8/","Apartment","1695","700","sqft","2.42","2","1","1185 35th St","Boulder","80303","CO","USA"
"https://www.zillow.com/b/3301-arapahoe-ave-boulder-co-9LfqjD/","Building","","","","","","","3301 Arapahoe Ave Unit 325","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/4607-Concord-Dr-Boulder-CO-80301/13199342_zpid/","Single Family","3800","2507","sqft","1.52","3","3","4607 Concord Dr","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/2512-Mapleton-Ave-APT-A-Boulder-CO-80304/2115554009_zpid/","Townhouse","3465","1506","sqft","2.3","3","2","2512 Mapleton Ave APT A","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/22-Logan-Mill-Rd-Boulder-CO-80302/13195678_zpid/","Single Family","11500","2750","sqft","4.18","3","2","22 Logan Mill Rd","Boulder","80302","CO","USA"
"https://www.zillow.com/apartments/boulder-co/meadow-creek/5hJ29s/","Building","","","","","","","5131 Williams Fork Trl","Boulder","80301","CO","USA"
