Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/4512-Starboard-Ct-Boulder-CO-80301/13224122_zpid/","","Single Family","275000","09/19/24","1536","sqft","179.04","1742.4","sqft","2","2","4512 Starboard Court","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/3981-Campo-Ct-Boulder-CO-80301/13239790_zpid/","","Single Family","1235000","09/19/2024","3076","sqft","401.5","7923","sqft","5","3.5","3981 Campo Ct","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/5344-Westridge-Dr-Boulder-CO-80301/13247854_zpid/","","Single Family","3800000","09/19/24","8210","sqft","462.85","1.29","acres","4","7","5344 Westridge Dr","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/1602-Grove-St-Boulder-CO-80302/13253860_zpid/","","Single Family","1200000","09/19/24","1254","sqft","956.94","2614","sqft","2","2","1602 Grove St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/3658-Pinedale-St-A-Boulder-CO-80301/98378361_zpid/","","Condominium","975000","09/19/24","2758","sqft","353.52","","","4","5","3658 Pinedale St UNIT A","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/3620-Conifer-Ct-Boulder-CO-80304/13180732_zpid/","","Single Family","753500","09/18/24","1280","sqft","588.67","7081","sqft","3","2","3620 Conifer Court","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1406-Pika-Rd-Boulder-CO-80302/13192871_zpid/","","Single Family","576000","09/18/24","2818","sqft","204.4","3.61","acres","2","3","1406 Pika Rd","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2991-24th-St-Boulder-CO-80304/13180933_zpid/","","Single Family","795000","09/17/2024","1100","sqft","722.73","7564","sqft","3","1","2991 24th St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/895-33rd-St-Boulder-CO-80303/13185413_zpid/","","Single Family","1090000","09/17/24","2341","sqft","465.61","10499","sqft","5","4","895 33rd Street","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/920-Hartford-Dr-Boulder-CO-80305/13186746_zpid/","","Single Family","1375000","09/17/2024","2456","sqft","559.85","6970","sqft","5","3","920 Hartford Dr","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/3144-Westwood-Ct-Boulder-CO-80304/13222361_zpid/","","Townhouse","715000","09/17/24","1810","sqft","395.03","1158","sqft","3","3","3144 Westwood Ct","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1890-Elder-Ave-Boulder-CO-80304/13177353_zpid/","","Single Family","1725000","09/16/24","3401","sqft","507.2","0.26","acres","5","3","1890 Elder Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2275-Hillsdale-Cir-Boulder-CO-80305/13185924_zpid/","","Single Family","1100000","09/16/24","2652","sqft","414.78","8974","sqft","4","3","2275 Hillsdale Circle","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/850-20th-St-APT-605-Boulder-CO-80302/13227233_zpid/","","Townhouse","580000","09/16/24","995","sqft","582.91","0.6","acres","2","2","850 20th St UNIT 605","Boulder","80302","CO","USA"
