Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/7471-Singing-Hills-Dr-101-Boulder-CO-80301/2061957955_zpid/","","Townhouse","432500","09/30/24","965","sqft","448.19","","","2","2","7471 Singing Hills Dr UNIT 101","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/555-13th-St-Boulder-CO-80302/13181698_zpid/","","Single Family","3300000","09/27/24","3765","sqft","876.49","9534","sqft","4","4","555 13th St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1480-Greenbriar-Blvd-Boulder-CO-80305/13187321_zpid/","","Condominium","780000","09/27/24","2379","sqft","327.87","","","4","4","1480 Greenbriar Blvd","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/545-Theresa-Dr-Boulder-CO-80303/13197728_zpid/","","Single Family","1915000","09/27/24","4610","sqft","415.4","1.01","acres","5","4","545 Theresa Drive","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/156-Barcelona-Dr-Boulder-CO-80303/13198049_zpid/","","Single Family","1120000","09/27/24","4250","sqft","263.53","1.3","acres","6","4","156 Barcelona Dr","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/701-Pearl-St-APT-4-Boulder-CO-80302/13223431_zpid/","","Townhouse","735000","09/27/24","902","sqft","814.86","","","1","1","701 Pearl St UNIT 4","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/3624-Roundtree-Ct-Boulder-CO-80304/13226595_zpid/","","Single Family","1132500","09/27/24","2169","sqft","522.13","4400","sqft","3","3","3624 Roundtree Ct","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1575-Zamia-Ave-APT-4-Boulder-CO-80304/63505519_zpid/","","Condominium","695000","09/27/24","1234","sqft","563.21","","","3","2","1575 Zamia Ave UNIT 4","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/3776-Palisade-Dr-3776-Boulder-CO-80301/102958326_zpid/","","Single Family","1225000","09/27/24","3456","sqft","354.46","6534","sqft","4","3","3776 Palisade Drive  Unit 3776","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/1447-Snowmass-Ct-Boulder-CO-80305/299389938_zpid/","","Single Family","1285000","09/27/24","1631","sqft","787.86","8102","sqft","3","2","1447 Snowmass Ct","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/3776-Palisade-Dr-Boulder-CO-80301/2096200998_zpid/","","Single Family","1225000","09/27/24","3456","sqft","354.46","6412","sqft","4","3","3776 Palisade Dr","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/3880-Cloverleaf-Dr-Boulder-CO-80304/13181352_zpid/","","Single Family","1900000","09/26/24","3022","sqft","628.72","10711","sqft","5","3","3880 Cloverleaf Dr","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/95-S-32nd-St-Boulder-CO-80305/13186061_zpid/","","Single Family","1620000","09/26/24","2535","sqft","639.05","7275","sqft","4","4","95 S 32nd St","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/540-Mohawk-Dr-APT-9-Boulder-CO-80303/13261299_zpid/","","Unknown","560000","09/26/2024","1111","sqft","504.05","","","2","2","540 Mohawk Dr 9","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/4725-16th-St-APT-103-Boulder-CO-80304/67152160_zpid/","","Condominium","599900","09/26/24","1028","sqft","583.56","","","2","2","4725 16th St UNIT 103","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/3401-Arapahoe-Ave-F-216-Boulder-CO-80303/401696120_zpid/","","Condominium","680000","09/26/24","1031","sqft","659.55","","","1","1","3401 Arapahoe Ave F-216","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/633-College-Ave-Boulder-CO-80302/13182787_zpid/","","Single Family","3975000","09/25/24","4201","sqft","946.2","0.59","acres","3","4","633 College Ave","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1107-Mountain-Pines-Rd-Boulder-CO-80302/13194223_zpid/","","Single Family","1225530","09/25/24","3037","sqft","403.53","2.07","acres","3","3","1107 Mountain Pines Rd","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1026-Valley-Ln-Boulder-CO-80302/13196845_zpid/","","Single Family","1330805","09/25/24","3408","sqft","390.49","3.88","acres","3","2","1026 Valley Lane","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/4675-Quail-Creek-Ln-Boulder-CO-80301/13229935_zpid/","","Single Family","1039260","09/25/24","3414","sqft","304.41","0.28","acres","4","4","4675 Quail Creek Lane","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/1400-Lee-Hill-Dr-2-Boulder-CO-80304/63505447_zpid/","","Condominium","230091","09/25/2024","916","sqft","251.19","","","2","2","1400 Lee Hill Dr #2","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/279-Switzerland-Park-Rd-Boulder-CO-80302/13194396_zpid/","","Single Family","595000","09/24/24","1238","sqft","480.61","2.09","acres","2","1","279 Switzerland Park Rd","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/3991-75th-St-Boulder-CO-80301/13198392_zpid/","","Single Family","637500","09/24/24","1512","sqft","421.63","0.89","acres","4","2","3991 75th St","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/5825-Rustic-Knolls-Dr-Boulder-CO-80301/13198476_zpid/","","Single Family","1595000","09/24/24","2800","sqft","569.64","0.87","acres","4","3","5825 Rustic Knolls Dr","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/7444-Singing-Hills-Ct-Boulder-CO-80301/13252826_zpid/","","Condominium","298000","09/24/2024","768","sqft","388.02","","","1","1","7444 Singing Hills Ct","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/4658-White-Rock-Cir-APT-7-Boulder-CO-80301/54990911_zpid/","","Condominium","375000","09/24/24","887","sqft","422.77","","","2","2","4658 White Rock Circle  Unit 7","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/3033-7th-St-Boulder-CO-80304/13181420_zpid/","","Single Family","1020000","09/23/24","2042","sqft","499.51","6424","sqft","3","2","3033 7th Street","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/4223-Peach-Way-Boulder-CO-80301/13214930_zpid/","","Single Family","965000","09/23/24","2842","sqft","339.55","0.41","acres","4","3","4223 Peach Way","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/476-Locust-Pl-Boulder-CO-80304/13239591_zpid/","","Single Family","1775000","09/23/24","2713","sqft","654.26","7597","sqft","4","4","476 Locust Pl","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/7444-Singing-Hills-Ct-BUILDING-B-Boulder-CO-80301/351362787_zpid/","","Condominium","298000","09/23/24","768","sqft","388.02","","","1","1","7444 Singing Hills Court Bldg B","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/2332-20th-St-Boulder-CO-80304/13180299_zpid/","","Single Family","2345000","09/20/24","3744","sqft","626.34","4163","sqft","4","4","2332 20th St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/370-S-43rd-St-Boulder-CO-80305/13184931_zpid/","","Single Family","802500","09/20/24","3056","sqft","262.6","6748","sqft","5","2","370 S 43rd St","Boulder","80305","CO","USA"
