Property URL,Property type,Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/624-Pearl-St-APT-401-Boulder-CO-80302/13240221_zpid/","Apartment","3900","1365","sqft","2.86","2","2","624 Pearl St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1933-Pearl-St-7-Boulder-CO-80302/54989655_zpid/","Apartment","3900","1200","sqft","3.25","2","2","1933 Pearl St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/400-Mapleton-Ave-Boulder-CO-80304/13181640_zpid/","Single Family","8000","4033","sqft","1.98","4","4","400 Mapleton Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1168-Westview-Dr-Boulder-CO-80303/13198704_zpid/","Single Family","5000","1714","sqft","2.92","4","3","1168 Westview Dr","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/3033-Kings-Ridge-Blvd-1-Boulder-CO-80301/442338501_zpid/","Apartment","2100","950","sqft","2.21","2","1","3033 Kings Ridge Blvd","Boulder","80301","CO","USA"
"https://www.zillow.com/b/1155-13th-st-boulder-co-ChpdxM/","Building","","","","","","","1143 13th St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1406-Pine-St-4-Boulder-CO-80302/2057161834_zpid/","Apartment","2500","840","sqft","2.98","2","1","1406 Pine St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/100-S-31st-St-Boulder-CO-80305/2146368638_zpid/","Single Family","6500","2394","sqft","2.72","5","2","100 S 31st St","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/1403-Bradley-Dr-Boulder-CO-80305/13187433_zpid/","Townhouse","2745","1400","sqft","1.96","3","4","1403 Bradley Dr","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/Boulder-CO-80304/380072366_zpid/","Apartment","3200","","","","1","2","","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/Boulder-CO-80302/384031353_zpid/","Apartment","3300","","","","1","1","","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/Boulder-CO-80302/383913773_zpid/","Apartment","3050","","","","1","1","","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/4550-Broadway-St-5-203-Boulder-CO-80304/376107812_zpid/","Apartment","3750","1150","sqft","3.26","2","3","4550 Broadway St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2432-Pine-St-Boulder-CO-80302/13241490_zpid/","Single Family","4500","2328","sqft","1.93","6","3","2432 Pine St","Boulder","80302","CO","USA"
"https://www.zillow.com/b/1405-broadway-street-boulder-co-9ggn93/","Building","","","","","","","1405 Broadway St","Boulder","80302","CO","USA"
