Property URL,Property type,Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/651-Maxwell-Ave-Boulder-CO-80304/13181070_zpid/","Single Family","7500","2147","sqft","3.49","3","2","651 Maxwell Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/934-8th-St-APT-B-Boulder-CO-80302/2089078574_zpid/","Apartment","1475","450","sqft","3.28","1","1","934 8th St APT B","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/355-S-39th-St-Boulder-CO-80305/13188453_zpid/","Single Family","6295","2304","sqft","2.73","6","3","355 S 39th St","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/1301-Canyon-Blvd-APT-308-Boulder-CO-80302/61637675_zpid/","Single Family","4585","1516","sqft","3.02","2","2","1301 Canyon Blvd","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1820-Alpine-Ave-2-Boulder-CO-80304/442657015_zpid/","Apartment","2250","600","sqft","3.75","2","1","1820 Alpine Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/3340-25th-St-Boulder-CO-80304/13182358_zpid/","Apartment","1995","1000","sqft","2","1","1","3340 25th St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1130-Utica-Cir-Boulder-CO-80304/13243437_zpid/","Single Family","11500","4125","sqft","2.79","4","4","1130 Utica Cir","Boulder","80304","CO","USA"
"https://www.zillow.com/b/2201-pearl-st-boulder-co-5XrxNk/","Building","","","","","","","2201 Pearl St","Boulder","80302","CO","USA"
"https://www.zillow.com/b/2200-canyon-boulder-co-5YDCfG/","Building","","","","","","","2200 Canyon Blvd","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/7355-Windsor-Dr-Boulder-CO-80301/13243006_zpid/","Single Family","3250","2916","sqft","1.11","3","3","7355 Windsor Dr","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/1720-Grape-Ave-Boulder-CO-80304/13224129_zpid/","Single Family","8995","3100","sqft","2.9","4","4","1720 Grape Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/4480-Squires-Cir-Boulder-CO-80305/13183808_zpid/","Single Family","3100","1053","sqft","2.94","3","1","4480 Squires Cir","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/1940-Grape-Ave-Boulder-CO-80304/13178622_zpid/","Single Family","5000","1679","sqft","2.98","3","2","1940 Grape Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/Boulder-CO-80304/442612253_zpid/","Apartment","1525","620","sqft","2.46","1","1","","Boulder","80304","CO","USA"
"https://www.zillow.com/b/building/40.026535,-105.2515_ll/","Building","","","","","","","3252 Foundry Pl","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/636-Arapahoe-Rd-18-Boulder-CO-80302/2067190004_zpid/","Apartment","1595","500","sqft","3.19","1","1","636 Arapahoe Rd","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/4294-Graham-Ct-Boulder-CO-80305/13185376_zpid/","Single Family","3795","2662","sqft","1.43","4","3","4294 Graham Ct","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/325-27th-St-Boulder-CO-80305/13181288_zpid/","Single Family","3200","902","sqft","3.55","3","1","325 27th St","Boulder","80305","CO","USA"
"https://www.zillow.com/b/building/40.000965,-105.26878_ll/","Building","","","","","","","879 19th St House AND","Boulder","80302","CO","USA"
"https://www.zillow.com/apartments/boulder-co/the-parker-off-pearl/5Xmg6M/","Building","","","","","","","1155 Marine St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/4814-Briar-Ridge-Ct-Boulder-CO-80301/13200023_zpid/","Townhouse","4200","2398","sqft","1.75","3","3","4814 Briar Ridge Ct","Boulder","80301","CO","USA"
