Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/1305-Linden-Ave-Boulder-CO-80304/13182439_zpid/","","Single Family","1070000","08/09/24","1870","sqft","572.19","7116","sqft","3","3","1305 Linden Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/3800-Carlock-Dr-Boulder-CO-80305/13183650_zpid/","","Single Family","1325000","08/09/24","2076","sqft","638.25","7982","sqft","4","3","3800 Carlock Dr","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/1660-Violet-Ave-Boulder-CO-80304/13195969_zpid/","","Single Family","3340000","08/09/24","6175","sqft","540.89","0.34","acres","6","7","1660 Violet Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/861-Cypress-Dr-Boulder-CO-80303/13199027_zpid/","","Single Family","1450000","08/09/24","2598","sqft","558.12","0.32","acres","4","4","861 Cypress Dr","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/3515-28th-St-208-Boulder-CO-80304/13234469_zpid/","","Condominium","389500","08/09/24","830","sqft","469.28","","","2","2","3515 28th St 208","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1784-Yaupon-Ave-D4-Boulder-CO-80304/50945098_zpid/","","Condominium","124118","08/09/24","744","sqft","166.83","","","1","1","1784 Yaupon Ave UNIT D4","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/4522-13th-St-6B-Boulder-CO-80304/119232472_zpid/","","Condominium","492500","08/09/24","709","sqft","694.64","","","1","1","4522 13th St UNIT 6-B","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2227-Canyon-Blvd-APT-303-Boulder-CO-80302/2139428015_zpid/","","Condominium","325000","08/09/24","702","sqft","462.96","","","1","1","2227 Canyon Blvd UNIT 303","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/435-Erie-Dr-Boulder-CO-80303/13183754_zpid/","","Single Family","1400000","08/08/24","3618","sqft","386.95","0.48","acres","4","3","435 Erie Dr","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/960-McIntire-St-Boulder-CO-80303/13184189_zpid/","","Single Family","960000","08/08/24","1488","sqft","645.16","6776","sqft","3","3","960 Mcintire Street","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/5914-Gunbarrel-Ave-APT-D-Boulder-CO-80301/13237497_zpid/","","Condominium","404900","08/08/24","747","sqft","542.03","","","2","1","5914 Gunbarrel Avenue  Unit D","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/2730-6th-St-Boulder-CO-80304/13178181_zpid/","","Single Family","1425000","08/07/24","2144","sqft","664.65","6718","sqft","5","2","2730 6th St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/4020-Greenbriar-Blvd-Boulder-CO-80305/13187941_zpid/","","Single Family","965000","08/07/2024","1702","sqft","566.98","8021","sqft","4","2","4020 Greenbriar Blvd","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/5216-Fourmile-Canyon-Dr-Boulder-CO-80302/13195689_zpid/","","Single Family","580000","08/07/24","1100","sqft","527.27","3.98","acres","2","1","5216 Fourmile Canyon Drive","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/855-Timber-Ln-Boulder-CO-80304/13197112_zpid/","","Single Family","7700000","08/07/24","7848","sqft","981.14","5.34","acres","5","6","855 Timber Ln","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/91-Lost-Angel-Rd-Boulder-CO-80302/13217023_zpid/","","Single Family","1350000","08/07/24","3169","sqft","426","4.47","acres","3","2","91 Lost Angel Rd","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/84-Huron-Ct-Boulder-CO-80303/13238022_zpid/","","Single Family","950000","08/07/2024","2155","sqft","440.84","4011","sqft","4","4","84 Huron Ct","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/7117-Glacier-View-Rd-Longmont-CO-80503/13212124_zpid/","","Single Family","587020","08/06/24","1296","sqft","452.95","0.34","acres","3","2","7117 Glacier View Rd","Longmont","80503","CO","USA"
"https://www.zillow.com/homedetails/5811-S-Orchard-Creek-Cir-Boulder-CO-80301/13245624_zpid/","","Single Family","1185000","08/06/24","3411","sqft","347.41","5944","sqft","4","4","5811 S Orchard Creek Cir","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/5000-Butte-St-LOT-14-Boulder-CO-80301/59999728_zpid/","","Manufactured","145000","08/06/24","960","sqft","151.04","960","sqft","2","2","5000 Butte St UNIT 14","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/5020-Ralston-St-9D-Boulder-CO-80304/63896851_zpid/","","Townhouse","432230","08/06/24","750","sqft","576.31","","","1","1","5020 Ralston St 9-D","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/4726-Fourmile-Canyon-Dr-Boulder-CO-80302/13195750_zpid/","","Single Family","800000","08/05/24","2471","sqft","323.76","8.27","acres","3","3","4726 Fourmile Canyon Dr","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2227-Canyon-Blvd-APT-353B-Boulder-CO-80302/13224911_zpid/","","Multi Family","352000","08/05/2024","702","sqft","501.42","","","1","1","2227 Canyon Blvd APT 353B","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2707-Valmont-Rd-APT-205B-Boulder-CO-80304/13230368_zpid/","","Condominium","277000","08/05/24","576","sqft","480.9","","","1","1","2707 Valmont Rd UNIT 205B","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2930-Shadow-Creek-Dr-APT-104-Boulder-CO-80303/13234559_zpid/","","Townhouse","570000","08/05/24","948","sqft","601.27","","","2","2","2930 Shadow Creek Dr UNIT 104","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/7451-Spy-Glass-Ct-M-Boulder-CO-80301/13252935_zpid/","","Condominium","424700","08/05/2024","975","sqft","435.59","","","2","2","7451 Spy Glass Ct #M","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/20-S-Boulder-Cir-APT-2103-Boulder-CO-80303/13255030_zpid/","","Townhouse","310000","08/05/24","637","sqft","486.66","5.28","acres","1","1","20 S Boulder Cir 20-2103","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/1980-Floral-Dr-Boulder-CO-80304/13177487_zpid/","","Single Family","950000","08/02/24","2100","sqft","452.38","10683","sqft","4","2","1980 Floral Drive","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1740-Cedar-Ave-Boulder-CO-80304/13180531_zpid/","","Single Family","2628800","08/02/24","4198","sqft","626.2","7426","sqft","4","5","1740 Cedar Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/987-Lost-Angel-Rd-Boulder-CO-80302/13194249_zpid/","","Single Family","2400000","08/02/2024","4333","sqft","553.89","24","acres","4","4","987 Lost Angel Road","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1149-Monroe-Dr-APT-A-Boulder-CO-80303/13216807_zpid/","","Condominium","203838","08/02/24","1044","sqft","195.25","871.2","sqft","3","2","1149 Monroe Drive  Unit A","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/3284-Cripple-Creek-Trl-6B-Boulder-CO-80305/13231138_zpid/","","Condominium","655000","08/02/24","954","sqft","686.58","","","2","2","3284 Cripple Creek Trl UNIT 6B","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/4753-White-Rock-Cir-APT-F-Boulder-CO-80301/13231954_zpid/","","Condominium","432000","08/02/24","712","sqft","606.74","","","2","1","4753 White Rock Cir UNIT F","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/2227-Canyon-Blvd-B-353-Boulder-CO-80302/2060473010_zpid/","","Condominium","352000","08/02/24","702","sqft","501.42","2.61","acres","1","1","2227 Canyon Blvd B-353","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/6255-Red-Hill-Rd-Boulder-CO-80302/13196907_zpid/","","Single Family","1550000","08/01/2024","2800","sqft","553.57","1.03","acres","3","2.5","6255 Red Hill Rd","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/4670-Kirkwood-St-Boulder-CO-80301/13200327_zpid/","","Single Family","805000","08/01/24","2645","sqft","304.35","8726","sqft","4","3","4670 Kirkwood St","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/1385-Kalmia-Ave-Boulder-CO-80304/13228227_zpid/","","Single Family","1600000","08/01/24","3669","sqft","436.09","9809","sqft","5","4","1385 Kalmia Avenue","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2875-Shadow-Creek-Dr-APT-301-Boulder-CO-80303/13230810_zpid/","","Condominium","540000","08/01/24","838","sqft","644.39","","","2","2","2875 Shadow Creek Dr UNIT 301","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/2705-Pine-St-Boulder-CO-80302/441911986_zpid/","","Condominium","1550000","08/01/2024","1370","sqft","1131.39","","","3","2","2705 Pine St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/3075-9th-St-Boulder-CO-80304/13177324_zpid/","","Single Family","1887500","07/31/24","1689","sqft","1117.53","6153","sqft","3","3","3075 9th St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2705-Pine-St-Boulder-CO-80302/13178441_zpid/","","Single Family","1550000","07/31/24","1370","sqft","1131.39","1","sqft","3","2","2705 Pine St","Boulder","80302","CO","USA"
