Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/4731-McKinley-Dr-Boulder-CO-80303/13184921_zpid/","","Single Family","1100000","12/05/24","1948","sqft","564.68","9551","sqft","4","3","4731 McKinley Dr","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/1330-Alpine-Ave-Boulder-CO-80304/299288112_zpid/","","Single Family","900000","12/05/24","1284","sqft","700.93","10161","sqft","3","2","1330 Alpine Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/3188-9th-St-Boulder-CO-80304/13179629_zpid/","","Single Family","1000000","12/04/24","1584","sqft","631.31","6132","sqft","2","2","3188 9th St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/621-Maxwell-Ave-Boulder-CO-80304/13180799_zpid/","","Single Family","2450000","12/04/24","3576","sqft","685.12","6640","sqft","4","3","621 Maxwell Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/455-S-41st-St-Boulder-CO-80305/13185818_zpid/","","Single Family","935000","12/04/2024","2800","sqft","333.93","7146","sqft","5","3","455 S 41st St","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/1995-Stony-Hill-Rd-Boulder-CO-80305/13216363_zpid/","","Single Family","2700000","12/04/24","3859","sqft","699.66","10806","sqft","4","4","1995 Stony Hill Rd","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/901-Pearl-St-302-Boulder-CO-80302/157718667_zpid/","","Condominium","1475000","12/04/24","1010","sqft","1460.4","","","1","2","901 Pearl St UNIT 302","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/945-12th-St-Boulder-CO-80302/13179620_zpid/","","Single Family","1575000","12/03/24","2551","sqft","617.4","8997","sqft","3","2","945 12th Street","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/3191-9th-St-Boulder-CO-80304/13180616_zpid/","","Single Family","4000000","12/03/24","4857","sqft","823.55","7659","sqft","5","5","3191 9th St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/4663-Greylock-St-Boulder-CO-80301/13200263_zpid/","","Single Family","731000","12/03/24","3244","sqft","225.34","0.27","acres","4","3","4663 Greylock St","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/3715-Birchwood-Dr-APT-15-Boulder-CO-80304/13230197_zpid/","","Condominium","610000","12/03/24","1144","sqft","533.22","0.39","acres","3","2","3715 Birchwood Dr UNIT 15","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/3410-Ash-Ave-Boulder-CO-80305/13185467_zpid/","","Single Family","770000","12/02/24","2408","sqft","319.77","10778","sqft","5","3","3410 Ash Avenue","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/1575-Findlay-Way-Boulder-CO-80305/13186752_zpid/","","Single Family","900000","12/02/24","2088","sqft","431.03","7641","sqft","4","2","1575 Findlay Way","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/4650-Portside-Way-Boulder-CO-80301/13227919_zpid/","","Condominium","540000","12/02/24","1536","sqft","351.56","1752","sqft","3","2","4650 Portside Way","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/2938-Kalmia-Ave-APT-3-Boulder-CO-80301/13238941_zpid/","","Condominium","555000","12/02/24","1264","sqft","439.08","","","2","2","2938 Kalmia Avenue  Unit 3","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/5390-Muirfield-Ct-Boulder-CO-80301/13244593_zpid/","","Single Family","1100000","12/02/24","3472","sqft","316.82","0.38","acres","6","4","5390 Muirfield Ct","Boulder","80301","CO","USA"
