Property URL,Property type,Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/apartments/boulder-co/3250-o'neal-circle/5hGB6k/","Building","","","","","","","3250 Oneal Cir","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/2904-4th-St-Boulder-CO-80304/13181931_zpid/","Single Family","5500","2664","sqft","2.06","6","4","2904 4th St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/6205-Willow-Ln-Boulder-CO-80301/13236624_zpid/","Apartment","3000","1000","sqft","3","2","2","6205 Willow Ln","Boulder","80301","CO","USA"
"https://www.zillow.com/apartments/boulder-co/boulder-commons-living/Cgzgvw/","Building","","","","","","","2530 Junction Pl","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/1230-Jay-St-Boulder-CO-80302/2088238218_zpid/","Apartment","3500","750","sqft","4.67","2","1","1230 Jay St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1351-Yellow-Pine-Ave-Boulder-CO-80304/67152164_zpid/","Townhouse","3800","1725","sqft","2.2","4","3","1351 Yellow Pine Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/404-Kelly-Rd-E-1-Boulder-CO-80302/442829218_zpid/","Apartment","2975","1800","sqft","1.65","3","2","404 Kelly Rd E","Boulder","80302","CO","USA"
"https://www.zillow.com/b/manhattan-west-condominiums-boulder-co-5Xts3h/","Building","","","","","","","695 Manhattan Dr","Boulder","80303","CO","USA"
"https://www.zillow.com/b/2830-e-college-ave-boulder-co-5XvJ8D/","Building","","","","","","","2830 East Ave","Boulder","80303","CO","USA"
"https://www.zillow.com/b/40-s-boulder-cir-boulder-co-5hDcyJ/","Building","","","","","","","40 S   Cir","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/1180-Juniper-Ave-Boulder-CO-80304/13216231_zpid/","Townhouse","2500","896","sqft","2.79","2","2","1180 Juniper Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/875-Roxwood-Ln-APT-B-Boulder-CO-80303/2105066270_zpid/","Townhouse","3200","1100","sqft","2.91","2","2","875 Roxwood Ln APT B","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/4481-Hamilton-Ct-Boulder-CO-80305/13186790_zpid/","Single Family","2700","1312","sqft","2.06","3","2","4481 Hamilton Ct","Boulder","80305","CO","USA"
"https://www.zillow.com/b/harvard-park-boulder-co-BK3sLp/","Apartment","2495","1200","sqft","2.08","3","3","505 Harvard Ln","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/920-37th-St-Boulder-CO-80303/13188030_zpid/","Single Family","3250","1445","sqft","2.25","3","2","920 37th St","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/952-Marine-St-APT-2-Boulder-CO-80302/2096480460_zpid/","Apartment","3200","","","","2","1","952 Marine St","Boulder","80302","CO","USA"
"https://www.zillow.com/b/955-16th-st.-boulder-co-9Lfpbh/","Building","","","","","","","955 16th St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/825-30th-St-APT-2-Boulder-CO-80303/2060917741_zpid/","Apartment","2600","1000","sqft","2.6","2","2","825 30th St","Boulder","80303","CO","USA"
"https://www.zillow.com/b/2990-aurora-ave-boulder-co-9LfqXz/","Building","","","","","","","2990 Aurora Ave","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/865-30th-St-APT-4-Boulder-CO-80303/2094698479_zpid/","Apartment","3945","","","","3","2","865 30th St","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/2590-Juniper-Ave-APT-B-Boulder-CO-80304/2083008288_zpid/","Apartment","2350","1000","sqft","2.35","2","1","2590 Juniper Ave APT B","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/5022-Buckingham-Rd-Boulder-CO-80301/13238995_zpid/","Townhouse","2200","1200","sqft","1.83","2","2","5022 Buckingham Rd","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/4933-Clubhouse-Ct-Boulder-CO-80301/13199841_zpid/","Townhouse","3500","2400","sqft","1.46","2","2","4933 Clubhouse Ct","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/3807-Hauptman-Ct-Boulder-CO-80301/13240378_zpid/","Single Family","3250","1718","sqft","1.89","3","2","3807 Hauptman Ct","Boulder","80301","CO","USA"
"https://www.zillow.com/b/building/40.009377,-105.256996_ll/","Building","","","","","","","2863 Springdale Ln","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/3000-Colorado-Ave-APT-F121-Boulder-CO-80303/2114586967_zpid/","Apartment","2350","1008","sqft","2.33","2","2","3000 Colorado Ave","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/1404-Hawthorn-Ave-Boulder-CO-80304/13183340_zpid/","Single Family","3000","2377","sqft","1.26","3","2","1404 Hawthorn Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/601-Wingate-Ave-Boulder-CO-80304/13260422_zpid/","Single Family","7500","4461","sqft","1.68","5","5","601 Wingate Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/3021-Kings-Ridge-Blvd-2-Boulder-CO-80301/2070100048_zpid/","Apartment","2200","900","sqft","2.44","2","1","3021 Kings Ridge Blvd","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/1265-Elder-Ave-Boulder-CO-80304/13230639_zpid/","Single Family","2700","1384","sqft","1.95","3","3","1265 Elder Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/apartments/boulder-co/mountainaire-apartments/5Xhvcy/","Building","","","","","","","2950 Bixby Ln -D","Boulder","80303","CO","USA"
"https://www.zillow.com/b/920-marine-st-boulder-co-5YCFTT/","Building","","","","","","","920 Marine St","Boulder","80302","CO","USA"
"https://www.zillow.com/b/the-lux-boulder-co-ChHvFn/","Building","","","","","","","855 Broadway St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/4466-Driftwood-Pl-Boulder-CO-80301/13200136_zpid/","Single Family","3200","1366","sqft","2.34","4","2","4466 Driftwood Pl","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/850-20th-St-APT-701-Boulder-CO-80302/13227235_zpid/","Apartment","1900","728","sqft","2.61","1","1","850 20th St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/600-Manhattan-Dr-5A-Boulder-CO-80303/13225081_zpid/","Apartment","2000","1128","sqft","1.77","2","2","600 Manhattan Dr","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/2741-14th-St-APT-C-Boulder-CO-80304/2089438643_zpid/","Apartment","2450","750","sqft","3.27","2","1","2741 14th St APT C","Boulder","80304","CO","USA"
"https://www.zillow.com/b/birchwood-drive-condominiums-boulder-co-5b6B6y/","Building","","","","","","","3775 Birchwood Dr","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/Boulder-CO-80302/2078631740_zpid/","Apartment","2495","800","sqft","3.12","1","1","","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1235-E-Ridge-Ave-Boulder-CO-80303/13181621_zpid/","Single Family","5100","","","","5","2","1235 E Ridge Ave","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/Boulder-CO-80302/404981808_zpid/","Apartment","1550","400","sqft","3.88","1","1","","Boulder","80302","CO","USA"
