Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Date listed (MM/DD/YYYY),Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/1945-Canyon-Blvd-Boulder-CO-80302/2093845438_zpid/","","Multi-family home for sale","Multi Family","59","10/07/2024","5850000","Yes","150000","04/02/2024","12582","sqft","464.95","0.44","acres","20","13","1945 Canyon Blvd","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2227-Canyon-Blvd-APT-253B-Boulder-CO-80302/13224898_zpid/","","Condo for sale","Condominium","62","10/04/2024","363000","Yes","7000","11/12/2024","702","sqft","517.09","","","1","1","2227 Canyon Boulevard  Unit 253b","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/250-Laramie-Blvd-Boulder-CO-80304/67150104_zpid/","","Townhouse for sale","Townhouse","62","10/04/2024","1190000","No","","","2580","sqft","461.24","2230","sqft","3","5","250 Laramie Blvd","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1824-Pearl-St-APT-B-Boulder-CO-80302/90147175_zpid/","","Townhouse for sale","Townhouse","62","10/04/2024","1225000","No","","","1504","sqft","814.49","7087","sqft","2","3","1824 Pearl St UNIT B","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2659-Juniper-Ave-30-Boulder-CO-80304/13220350_zpid/","","Condo for sale","Condominium","63","10/03/2024","735000","Yes","20000","11/27/2024","1554","sqft","472.97","","","3","2","2659 Juniper Ave UNIT 30","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/86-Tall-Pine-Ln-Boulder-CO-80302/13196748_zpid/","","House for sale","Single Family","63","10/03/2024","1150000","No","","","2731","sqft","421.09","2.33","acres","3","3","86 Tall Pine Ln","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/3895-Norwood-Ct-Boulder-CO-80304/13230244_zpid/","","House for sale","Single Family","63","10/03/2024","2125000","No","","","3714","sqft","572.16","0.54","acres","5","4","3895 Norwood Ct","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1111-Maxwell-Ave-APT-109-Boulder-CO-80304/13237316_zpid/","","Townhouse for sale","Townhouse","63","10/03/2024","358000","Yes","4500","10/03/2024","520","sqft","688.46","520","sqft","1","1","1111 Maxwell Ave UNIT 109","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/4721-Spine-Rd-APT-F-Boulder-CO-80301/13231613_zpid/","","Condo for sale","Condominium","63","10/03/2024","415000","Yes","9000","10/29/2024","845","sqft","491.12","","","2","1","4721 Spine Rd UNIT F","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/2730-4th-St-Boulder-CO-80304/13181462_zpid/","","House for sale","Single Family","63","10/03/2024","1395000","Yes","100000","10/17/2024","2073","sqft","672.94","6281","sqft","3","2","2730 4th St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/6158-Habitat-Dr-Boulder-CO-80301/13245535_zpid/","","Condo for sale","Condominium","63","10/03/2024","549000","No","","","1898","sqft","289.25","","","2","2","6158 Habitat Dr","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/3707-Telluride-Cir-Boulder-CO-80305/13219209_zpid/","","Townhouse for sale","Townhouse","63","10/03/2024","849000","No","","","1320","sqft","643.18","1695","sqft","3","2","3707 Telluride Cir","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/1561-S-Foothills-Hwy-LOT-D2-Boulder-CO-80305/68052122_zpid/","","Home for sale","Manufactured","63","10/03/2024","72500","Yes","2000","11/13/2024","800","sqft","90.63","3000","sqft","2","1","1561 S Foothills Hwy UNIT D2","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/3009-Madison-Ave-L424-Boulder-CO-80303/2060473809_zpid/","","Condo for sale","Condominium","63","10/03/2024","325000","Yes","5000","10/17/2024","570","sqft","570.18","","","1","1","3009 Madison Avenue Bldg L  Unit 424","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/1372-Glacier-Pl-Boulder-CO-80303/109688963_zpid/","","Lot / Land for sale","Lot/Land","64","10/02/2024","724000","Yes","25000","12/03/2024","","","","0.58","acres","","","1372 Glacier Pl","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/1301-Canyon-Blvd-APT-309-Boulder-CO-80302/61633072_zpid/","","Condo for sale","Condominium","64","10/02/2024","1075000","Yes","50000","11/15/2024","1348","sqft","797.48","","","2","2","1301 Canyon Blvd UNIT 309","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1834-Arapahoe-Ave-UNIT-D-Boulder-CO-80302/63507116_zpid/","","Condo for sale","Condominium","64","10/02/2024","775000","Yes","10000","10/02/2024","882","sqft","878.68","","","2","2","1834 Arapahoe Avenue  Unit D","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1813-Pine-St-Boulder-CO-80302/13182380_zpid/","","Multi-family home for sale","Multi Family","64","10/02/2024","1995000","Yes","300000","11/12/2024","2900","sqft","687.93","6632","sqft","5","3","1813 Pine St","Boulder","80302","CO","USA"
