Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/4500-19th-St-Boulder-CO-80304/300322589_zpid/","","Manufactured","195914","08/30/24","1456","sqft","134.56","1306.8","sqft","3","2","4500 19th St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/845-Park-Ln-Boulder-CO-80302/13177340_zpid/","","Single Family","2000000","08/29/24","3896","sqft","513.35","7702","sqft","4","4","845 Park Ln","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2114-Violet-Ave-Boulder-CO-80304/13195916_zpid/","","Single Family","1350000","08/29/2024","578","sqft","2335.64","0.93","acres","1","1","2114 Violet Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/740-Rockway-Pl-Boulder-CO-80303/13212642_zpid/","","Single Family","920000","08/29/24","1631","sqft","564.07","0.99","acres","4","2","740 Rockway Pl","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/6820-Twin-Lakes-Rd-Boulder-CO-80301/13229899_zpid/","","Single Family","1135000","08/29/24","2811","sqft","403.77","0.42","acres","3","3","6820 Twin Lakes Road","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/2610-Iris-Ave-APT-105-Boulder-CO-80304/50944495_zpid/","","Townhouse","162441","08/29/24","926","sqft","175.42","","","2","1","2610 Iris Ave UNIT 105","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/650-Terrace-Ave-A-Boulder-CO-80304/316848973_zpid/","","Townhouse","1535000","08/29/24","1692","sqft","907.21","","","2","2","650 Terrace Ave UNIT A","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/425-Manhattan-Dr-A-B-Boulder-CO-80303/2061958664_zpid/","","Multi Family","1500000","08/29/24","3597","sqft","417.01","10792","sqft","7","5","425 Manhattan Dr UNIT A, B, C","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/1400-Lee-Hill-Rd-UNIT-2-Boulder-CO-80304/2083842369_zpid/","","Townhouse","230091","08/29/24","916","sqft","251.19","","","2","2","1400 Lee Hill Road  Unit 2","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/3535-Martin-Dr-Boulder-CO-80305/13183753_zpid/","","Single Family","740000","08/28/24","1040","sqft","711.54","7679","sqft","3","1","3535 Martin Dr","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/22-Nightshade-Dr-Boulder-CO-80302/13193086_zpid/","","Single Family","717750","08/28/24","1628","sqft","440.88","1.03","acres","4","2","22 Nightshade Dr","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/3280-47th-St-APT-103B-Boulder-CO-80301/13246911_zpid/","","Condominium","570000","08/28/24","1030","sqft","553.4","","","2","2","3280 47th Street  Unit 103b","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/5073-5th-St-Boulder-CO-80304/67148717_zpid/","","Townhouse","890000","08/28/24","2564","sqft","347.11","1742","sqft","3","4","5073 5th St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2595-Glenwood-Dr-Boulder-CO-80304/339034554_zpid/","","Lot/Land","500000","08/28/2024","","","","7405","sqft","","0","2595 Glenwood Dr","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/32-Canon-Park-Dr-Boulder-CO-80302/13196592_zpid/","","Single Family","1567500","08/27/2024","2569","sqft","610.16","0.29","acres","2","3","32 Canon Park Dr","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/4516-Starboard-Ct-Boulder-CO-80301/13224123_zpid/","","Townhouse","275000","08/27/24","1536","sqft","179.04","1742.4","sqft","2","2","4516 Starboard Court","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/92-Hillside-Ct-Boulder-CO-80302/13242691_zpid/","","Single Family","907500","08/27/24","2376","sqft","381.94","2.06","acres","3","3","92 Hillside Ct","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/4518-Starboard-Ct-Boulder-CO-80301/351567081_zpid/","","Townhouse","275000","08/27/24","1536","sqft","179.04","1742.4","sqft","2","2","4518 Starboard Court","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/1014-Utica-Cir-Boulder-CO-80304/13243430_zpid/","","Single Family","2730000","08/26/24","4178","sqft","653.42","9386","sqft","5","4","1014 Utica Cir","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/3838-Orion-Ct-Boulder-CO-80304/13176850_zpid/","","Single Family","1175000","08/23/24","1920","sqft","611.98","8605","sqft","3","2","3838 Orion Ct","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2301-Pearl-St-APT-71-Boulder-CO-80302/13239303_zpid/","","Townhouse","295000","08/23/24","454","sqft","649.78","","","1","1","2301 Pearl St UNIT 71","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/520-Spruce-St-Boulder-CO-80302/67148148_zpid/","","Single Family","4650000","08/23/24","4611","sqft","1008.46","8603","sqft","5","5","520 Spruce St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/3664-Pinedale-St-G-Boulder-CO-80301/352579175_zpid/","","Condominium","323632","08/23/24","1255","sqft","257.87","","","2","3","3664 Pinedale St UNIT G","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/32-Canon-Park-Boulder-CO-80302/377759960_zpid/","","Single Family","1567500","08/23/24","2569","sqft","610.16","0.36","acres","2","3","32 Canon Park","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1615-Kalmia-Ave-Boulder-CO-80304/13176616_zpid/","","Single Family","1005000","08/22/2024","1911","sqft","525.9","8111","sqft","3","2","1615 Kalmia Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/293-Broken-Fence-Rd-Boulder-CO-80302/13192999_zpid/","","Single Family","1442500","08/22/24","3112","sqft","463.53","1.31","acres","3","3","293 Broken Fence Rd","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/7083-Indian-Peaks-Trl-Boulder-CO-80301/13199761_zpid/","","Single Family","1454000","08/22/24","4941","sqft","294.27","0.28","acres","5","4","7083 Indian Peaks Trl","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/5527-Baca-Cir-Boulder-CO-80301/13223748_zpid/","","Single Family","735000","08/22/24","3402","sqft","216.05","8720","sqft","3","2","5527 Baca Circle","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/1318-Yellow-Pine-Ave-APT-B-Boulder-CO-80304/63896757_zpid/","","Condominium","767500","08/22/2024","947","sqft","810.45","","","2","1.5","1318 Yellow Pine Ave APT B","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1838-Mariposa-Ave-A-Boulder-CO-80302/13176364_zpid/","","Single Family","3000000","08/21/2024","5081","sqft","590.43","10454","sqft","6","6","1838 Mariposa Ave #A","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/504-Marine-St-Boulder-CO-80302/13177830_zpid/","","Single Family","5000000","08/21/24","4492","sqft","1113.09","10181","sqft","4","4","504 Marine St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/415-Sunnyside-Ln-Boulder-CO-80302/13179228_zpid/","","Single Family","1200000","08/21/24","2337","sqft","513.48","9690","sqft","4","2","415 Sunnyside Ln","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/7180-Mount-Sherman-Rd-Longmont-CO-80503/13212331_zpid/","","Single Family","875000","08/21/24","2725","sqft","321.1","10574","sqft","5","3","7180 Mount Sherman Rd","Longmont","80503","CO","USA"
"https://www.zillow.com/homedetails/6395-Gunpark-Dr-SUITE-R-Boulder-CO-80301/63505575_zpid/","","Single Family","625000","08/21/2024","878","sqft","711.85","2.62","acres","","","6395 Gunpark Dr SUITE R","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/843-17th-St-Boulder-CO-80302/13181576_zpid/","","Multi Family","1780000","08/20/24","2090","sqft","851.67","6483","sqft","8","4","843 17th St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/463-Timber-Ln-Boulder-CO-80304/13197093_zpid/","","Single Family","1850000","08/20/24","2701","sqft","684.93","1.31","acres","3","3","463 Timber Ln","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1524-Marshall-Rd-Boulder-CO-80305/13198907_zpid/","","Single Family","1250000","08/20/24","1493","sqft","837.24","1.81","acres","2","2","1524 Marshall Rd","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/50-S-Boulder-Cir-APT-5016-Boulder-CO-80303/13255129_zpid/","","Townhouse","312000","08/20/24","637","sqft","489.8","","","1","1","50 S Boulder Cir 5016","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/812-20th-St-APT-4-Boulder-CO-80302/54991087_zpid/","","Townhouse","290000","08/20/24","378","sqft","767.2","","","1","1","812 20th St UNIT 4","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/812-20th-St-APT-9-Boulder-CO-80302/54991091_zpid/","","Condominium","290000","08/20/24","378","sqft","767.2","","","1","1","812 20th St UNIT 9","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/3301-Arapahoe-Ave-UNIT-208-Boulder-CO-80303/296358977_zpid/","","Unknown","915000","08/20/2024","1567","sqft","583.92","","","2","2","3301 Arapahoe Ave UNIT 208","Boulder","80303","CO","USA"
