Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/2805-Sundown-Ln-APT-101-Boulder-CO-80303/13241449_zpid/","","Condominium","536250","10/09/24","1250","sqft","429","","","2","2","2805 Sundown Lane  Unit 101","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/1245-Drexel-St-Boulder-CO-80305/13188263_zpid/","","Single Family","1400000","10/08/24","2121","sqft","660.07","6855","sqft","4","3","1245 Drexel St","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/3754-N-26th-St-Boulder-CO-80304/13248125_zpid/","","Single Family","2225000","10/08/24","4741","sqft","469.31","0.42","acres","5","4","3754 N 26th St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2850-Aurora-Ave-APT-303-Boulder-CO-80303/13252995_zpid/","","Condominium","540000","10/08/24","990","sqft","545.45","","","2","2","2850 Aurora Ave UNIT 303","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/3210-Jay-Rd-Boulder-CO-80301/13194784_zpid/","","Single Family","2226300","10/07/24","1813","sqft","1227.96","0.97","acres","3","2","3210 Jay Road","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/3030-Oneal-Pkwy-32R-Boulder-CO-80301/13225066_zpid/","","Condominium","335000","10/07/24","845","sqft","396.45","2.27","acres","1","1","3030 Oneal Parkway  Unit 32r","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/3147-8th-St-Boulder-CO-80304/13179838_zpid/","","Single Family","1467000","10/04/2024","1248","sqft","1175.48","6129","sqft","3","1","3147 8th St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2543-Pine-St-Boulder-CO-80302/13180880_zpid/","","Single Family","1510000","10/04/24","2007","sqft","752.37","7310","sqft","4","2","2543 Pine St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/4740-Hancock-Dr-Boulder-CO-80303/13188539_zpid/","","Single Family","1260000","10/04/24","3256","sqft","386.98","8328","sqft","5","3","4740 Hancock Dr","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/230-Seminole-Dr-Boulder-CO-80303/13189568_zpid/","","Single Family","1300000","10/04/24","2738","sqft","474.8","7405.2","sqft","5","3","230 Seminole Drive","Boulder","80303","CO","USA"
