Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Date listed (MM/DD/YYYY),Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/7488-Singing-Hills-Dr-G-Boulder-CO-80301/2060455419_zpid/","","Condo for sale","Condominium","64","10/02/2024","387500","No","","","965","sqft","401.55","","","2","2","7488 Singing Hills Dr G","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/4125-Eutaw-Dr-Boulder-CO-80303/13189298_zpid/","","House for sale","Single Family","65","10/01/2024","1750000","Yes","5000","11/19/2024","2987","sqft","585.87","0.33","acres","5","4","4125 Eutaw Drive","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/3776-Orange-Ln-Boulder-CO-80304/13179973_zpid/","","House for sale","Single Family","66","09/30/2024","2095000","No","","","3130","sqft","669.33","0.56","acres","4","3","3776 Orange Ln","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1775-Deer-Valley-Rd-Boulder-CO-80305/13178376_zpid/","","House for sale","Single Family","69","09/27/2024","7995000","Yes","905000","11/12/2024","4558","sqft","1754.06","0.44","acres","4","5","1775 Deer Valley Rd","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/1715-View-Point-Rd-Boulder-CO-80305/13183857_zpid/","","House for sale","Single Family","69","09/27/2024","2649000","No","","","4449","sqft","595.41","0.28","acres","5","3","1715 View Point Rd","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/1000-Spring-Dr-Boulder-CO-80303/13197649_zpid/","","House for sale","Single Family","69","09/27/2024","5975000","No","","","5337","sqft","1119.54","3.37","acres","5","4","1000 Spring Dr","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/2888-S-Lakeridge-Trl-Boulder-CO-80302/13211584_zpid/","","House for sale","Single Family","69","09/27/2024","1988800","No","","","4292","sqft","463.37","1.15","acres","3","3","2888 S Lakeridge Trl","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/4635-Portside-Way-Boulder-CO-80301/13227916_zpid/","","Townhouse for sale","Townhouse","69","09/27/2024","525000","Yes","15000","11/15/2024","1536","sqft","341.8","2633","sqft","2","2","4635 Portside Way","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/4631-Portside-Way-Boulder-CO-80301/13227917_zpid/","","Townhouse for sale","Townhouse","69","09/27/2024","499000","Yes","16000","11/15/2024","1536","sqft","324.87","2769","sqft","2","2","4631 Portside Way","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/265-30th-St-Boulder-CO-80305/13180076_zpid/","","House for sale","Single Family","69","09/27/2024","1129000","Yes","21000","11/21/2024","1754","sqft","643.67","6417","sqft","4","2","265 30th St","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/5165-Santa-Clara-Pl-APT-C-Boulder-CO-80303/67152231_zpid/","","Condo for sale","Condominium","69","09/27/2024","540000","Yes","10000","10/17/2024","868","sqft","622.12","","","2","1","5165 Santa Clara Pl UNIT C","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/531-Arapahoe-Ave-Boulder-CO-80302/13180492_zpid/","","House for sale","Single Family","69","09/27/2024","2195000","No","","","2583","sqft","849.79","0.27","acres","4","4","531 Arapahoe Ave","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2984-Shady-Holw-W-Boulder-CO-80304/13226314_zpid/","","Condo for sale","Condominium","70","09/26/2024","560000","Yes","20000","11/18/2024","1616","sqft","346.53","651","sqft","2","3","2984 Shady Holw W","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/300-Shining-Star-Trl-Boulder-CO-80302/13194237_zpid/","","Lot / Land for sale","Lot/Land","70","09/26/2024","530000","Yes","5000","09/19/2024","","","","30.72","acres","","","300 Shining Star Trl","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/4758-Franklin-Dr-Boulder-CO-80301/13252243_zpid/","","Townhouse for sale","Townhouse","70","09/26/2024","770000","Yes","20000","09/26/2024","1834","sqft","419.85","1554","sqft","2","3","4758 Franklin Dr","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/3720-Cloverleaf-Dr-Boulder-CO-80304/13181038_zpid/","","House for sale","Single Family","70","09/26/2024","1645000","No","","","2552","sqft","644.59","7310","sqft","4","3","3720 Cloverleaf Dr","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2125-Vine-Ave-Boulder-CO-80304/335666815_zpid/","","New construction","Single Family","70","09/26/2024","2725000","No","","","4885","sqft","557.83","7695","sqft","5","5","2125 Vine Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2135-Spruce-St-APT-4-Boulder-CO-80302/13237381_zpid/","","Condo for sale","Condominium","70","09/26/2024","830000","No","","","1248","sqft","665.06","9114","sqft","3","2","2135 Spruce Street  Unit 4","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2010-Pearl-St-UNIT-B-Boulder-CO-80302/2061275575_zpid/","","New construction","Townhouse","70","09/26/2024","1595000","No","","","1792","sqft","890.07","","","3","4","2010 Pearl Street  Unit B","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/3860-Birchwood-Dr-Boulder-CO-80304/13226662_zpid/","","House for sale","Single Family","71","09/25/2024","1280330","Yes","116670","11/14/2024","3310","sqft","386.81","7242","sqft","3","3","3860 Birchwood Dr","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/325-29th-St-Boulder-CO-80305/13182487_zpid/","","House for sale","Single Family","71","09/25/2024","785000","Yes","30000","10/28/2024","792","sqft","991.16","6970","sqft","2","1","325 29th St","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/1355-Claremont-Dr-Boulder-CO-80305/13187450_zpid/","","House for sale","Single Family","71","09/25/2024","1099000","No","","","1180","sqft","931.36","8924","sqft","3","2","1355 Claremont Drive","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/1095-Quince-Ave-Boulder-CO-80304/13238539_zpid/","","House for sale","Single Family","71","09/25/2024","1785000","No","","","3048","sqft","585.63","7269","sqft","4","4","1095 Quince Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/319-Camino-Bosque-Boulder-CO-80302/13195690_zpid/","","House for sale","Single Family","72","09/24/2024","995000","No","","","2027","sqft","490.87","1.27","acres","2","2","319 Camino Bosque","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/3621-21st-St-Boulder-CO-80304/13180186_zpid/","","House for sale","Single Family","73","09/23/2024","13000000","No","","","7099","sqft","1831.24","0.66","acres","4","5","3621 21st St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/4656-Tanglewood-Trl-Boulder-CO-80301/13199485_zpid/","","House for sale","Single Family","73","09/23/2024","859000","No","","","4237","sqft","202.74","0.35","acres","4","3","4656 Tanglewood Trl","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/1639-Hoosier-Hill-Rd-Boulder-CO-80302/296357922_zpid/","","Lot / Land for sale","Lot/Land","73","09/23/2024","270000","Yes","10000","12/02/2024","","","","5.15","acres","","","1639 Hoosier Hill Rd","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2954-Kalmia-Ave-APT-41-Boulder-CO-80301/13242392_zpid/","","Condo for sale","Condominium","76","09/20/2024","785000","No","","","1648","sqft","476.33","0.33","acres","3","3","2954 Kalmia Ave UNIT 41","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/1111-Maxwell-Ave-APT-126-Boulder-CO-80304/13237332_zpid/","","Townhouse for sale","Townhouse","76","09/20/2024","375000","No","","","520","sqft","721.15","","","1","1","1111 Maxwell Ave UNIT 126","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/8001-Fairview-Rd-Boulder-CO-80303/81883194_zpid/","","House for sale","Single Family","76","09/20/2024","6990000","No","","","10457","sqft","668.45","3.58","acres","6","10","8001 Fairview Rd","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/6495-Barnacle-Ct-Boulder-CO-80301/13200174_zpid/","","House for sale","Single Family","76","09/20/2024","299000","No","","","1536","sqft","194.66","1742.4","sqft","2","2","6495 Barnacle Court","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/6485-Barnacle-Ct-Boulder-CO-80301/440622769_zpid/","","House for sale","Single Family","76","09/20/2024","299000","No","","","1536","sqft","194.66","1742.4","sqft","2","2","6485 Barnacle Court","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/6483-Barnacle-Ct-Boulder-CO-80301/13224117_zpid/","","House for sale","Single Family","76","09/20/2024","299000","No","","","1536","sqft","194.66","1742.4","sqft","2","2","6483 Barnacle Court","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/2967-Middle-Fork-Rd-Boulder-CO-80302/72295472_zpid/","","House for sale","Single Family","76","09/20/2024","4250000","Yes","650000","10/01/2024","4465","sqft","951.85","1.22","acres","5","6","2967 Middle Fork Rd","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2826-Broadway-St-106-Boulder-CO-80304/82396788_zpid/","","Townhouse for sale","Townhouse","76","09/20/2024","2399000","Yes","45150","11/12/2024","2588","sqft","926.97","0.72","acres","3","4","2826 Broadway Street  Unit 106","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1707-Walnut-St-APT-309-Boulder-CO-80302/2102951757_zpid/","","Condo for sale","Condominium","77","09/19/2024","720000","No","","","800","sqft","900","","","2","1","1707 Walnut St UNIT 309","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1707-Walnut-St-APT-102-Boulder-CO-80302/2101574215_zpid/","","Townhouse for sale","Townhouse","77","09/19/2024","899000","No","","","940","sqft","956.38","","","2","2","1707 Walnut St UNIT 102","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/272-Spruce-St-D-Boulder-CO-80302/13224504_zpid/","","Townhouse for sale","Townhouse","78","09/18/2024","999000","Yes","51000","11/09/2024","1698","sqft","588.34","689","sqft","4","3","272 Spruce Street  Unit D","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1155-Canyon-Blvd-SUITE-205-Boulder-CO-80302/81883838_zpid/","","Condo for sale","Condominium","78","09/18/2024","1100000","Yes","240000","09/19/2024","1138","sqft","966.61","","","2","1","1155 Canyon Blvd UNIT 205","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/3260-47th-St-APT-207A-Boulder-CO-80301/13246903_zpid/","","Condo for sale","Condominium","78","09/18/2024","530000","No","","","1030","sqft","514.56","1.89","acres","2","2","3260 47th St UNIT 207A","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/3766-Ridgeway-St-Boulder-CO-80301/87809860_zpid/","","House for sale","Single Family","78","09/18/2024","1250000","No","","","3816","sqft","327.57","6322","sqft","4","4","3766 Ridgeway St","Boulder","80301","CO","USA"
