Property URL,Property type,Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/655-Arapahoe-Ave-Boulder-CO-80302/13180107_zpid/","Single Family","16500","","","","10","4","655 Arapahoe Ave","Boulder","80302","CO","USA"
"https://www.zillow.com/apartments/boulder-co/3100-pearl/BT3rdb/","Building","","","","","","","3100 Pearl St","Boulder","80301","CO","USA"
"https://www.zillow.com/b/2850-aurora-ave-boulder-co-5Xv7nf/","Building","","","","","","","2850 Aurora Ave","Boulder","80303","CO","USA"
"https://www.zillow.com/apartments/boulder-co/the-armory/C3Tw9c/","Building","","","","","","","4775 13th St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/745-18th-St-Boulder-CO-80302/2091937502_zpid/","Apartment","6400","1500","sqft","4.27","4","2","745 18th St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2014-19th-St-Boulder-CO-80302/2100834695_zpid/","Single Family","3900","850","sqft","4.59","2","1","2014 19th St","Boulder","80302","CO","USA"
"https://www.zillow.com/apartments/boulder-co/mysa-at-the-crossing/Chzz6t/","Building","","","","","","","3715 Canfield St","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/Boulder-CO-80304/376228244_zpid/","Apartment","3200","","","","1","1","","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/Boulder-CO-80304/369790564_zpid/","Apartment","2700","619","sqft","4.36","1","1","","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/Boulder-CO-80301/379928221_zpid/","Apartment","2900","","","","1","1","","Boulder","80301","CO","USA"
"https://www.zillow.com/apartments/boulder-co/university-hill-apartments/5fwqcP/","Building","","","","","","","1012 University Ave","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/745-Thomas-Dr-APT-1-Boulder-CO-80303/13188181_zpid/","Apartment","2200","926","sqft","2.38","2","1","745 Thomas Dr","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/1817-Arapahoe-Ave-APT-1-Boulder-CO-80302/2102270286_zpid/","Apartment","1800","600","sqft","3","2","1","1817 Arapahoe Ave","Boulder","80302","CO","USA"
"https://www.zillow.com/b/1057-13th-st-boulder-co-5fwqBg/","Building","","","","","","","1057 13th St   /D","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/109-4405-Laguna-Pl-Boulder-CO-80303/442338586_zpid/","Apartment","2200","1220","sqft","1.8","2","2","109 Laguna Pl","Boulder","80303","CO","USA"
