Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Date listed (MM/DD/YYYY),Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/3035-Oneal-Pkwy-APT-S15-Boulder-CO-80301/2061694628_zpid/","","Condo for sale","Condominium","90","09/06/2024","284900","Yes","5000","10/20/2024","759","sqft","375.36","","","1","1","3035 Oneal Parkway Bldg S  Unit 15","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/3035-Oneal-Pkwy-15-Boulder-CO-80301/2079760056_zpid/","","Townhouse for sale","Townhouse","90","09/06/2024","284900","Yes","5000","10/20/2024","759","sqft","375.36","","","1","1","3035 Oneal Pkwy S-15","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/1360-Walnut-St-APT-304-Boulder-CO-80302/67152213_zpid/","","Condo for sale","Condominium","92","09/04/2024","1225000","No","","","1538","sqft","796.49","","","1","2","1360 Walnut St UNIT 304","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/7474-Spring-Dr-Boulder-CO-80303/13197380_zpid/","","Lot / Land for sale","Lot/Land","93","09/03/2024","1350000","No","","","","","","0.99","acres","","","7474 Spring Drive","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/2950-6th-St-Boulder-CO-80304/13178758_zpid/","","House for sale","Single Family","93","09/03/2024","4350000","No","","","5674","sqft","766.65","9327","sqft","6","6","2950 6th St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/3035-Oneal-Pkwy-APT-V21-Boulder-CO-80301/2069304712_zpid/","","Condo for sale","Condominium","93","09/03/2024","400000","Yes","29500","11/16/2024","1344","sqft","297.62","","","3","3","3035 Oneal Pkwy V-21","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/1360-Walnut-St-APT-401-Boulder-CO-80302/67151810_zpid/","","Condo for sale","Condominium","94","09/02/2024","4500000","No","","","2768","sqft","1625.72","","","2","3","1360 Walnut St UNIT 401","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/7366-Empire-Dr-Boulder-CO-80303/13197627_zpid/","","Lot / Land for sale","Lot/Land","95","09/01/2024","1600000","Yes","200000","09/19/2024","","","","6.06","acres","","","7366 Empire Dr","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/5000-Butte-St-LOT-8-Boulder-CO-80301/13263990_zpid/","","Home for sale","Manufactured","96","08/31/2024","185000","No","","","1584","sqft","116.79","","","3","2","5000 Butte Street  Lot #8","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/2977-Sunshine-Canyon-Dr-Boulder-CO-80302/13214094_zpid/","","Lot / Land for sale","Lot/Land","96","08/31/2024","535000","No","","","","","","2.4","acres","","","2977 Sunshine Canyon Dr","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2950-Juilliard-St-Boulder-CO-80305/13187982_zpid/","","House for sale","Single Family","97","08/30/2024","2350000","Yes","145000","10/12/2024","2608","sqft","901.07","0.45","acres","3","3","2950 Juilliard St","Boulder","80305","CO","USA"
"https://www.zillow.com/homedetails/4095-19th-St-Boulder-CO-80304/2060474487_zpid/","","House for sale","Single Family","97","08/30/2024","1299000","Yes","34000","10/15/2024","2766","sqft","469.63","2766","sqft","5","5","4095 19th Street","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/740-12th-St-Boulder-CO-80302/13181599_zpid/","","House for sale","Single Family","97","08/30/2024","2200000","Yes","150000","10/17/2024","3746","sqft","587.29","0.29","acres","4","3","740 12th St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/3807-Paseo-Del-Prado-Boulder-CO-80301/13226772_zpid/","","Townhouse for sale","Townhouse","98","08/29/2024","765000","Yes","10000","09/18/2024","1821","sqft","420.1","","","4","3","3807 Paseo del Prado","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/2030-20th-St-APT-7-Boulder-CO-80302/59999453_zpid/","","Condo for sale","Condominium","98","08/29/2024","950000","No","","","972","sqft","977.37","","","1","1","2030 20th St UNIT 7","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1707-Walnut-St-APT-301-Boulder-CO-80302/2078608053_zpid/","","Condo for sale","Condominium","98","08/29/2024","820000","Yes","20000","12/05/2024","800","sqft","1025","","","1","2","1707 Walnut St UNIT 301","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1707-Walnut-St-APT-206-Boulder-CO-80302/2099811754_zpid/","","Condo for sale","Condominium","98","08/29/2024","1195000","No","","","1089","sqft","1097.34","","","2","2","1707 Walnut St UNIT 206","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/3033-3rd-St-Boulder-CO-80304/13196130_zpid/","","Lot / Land for sale","Lot/Land","98","08/29/2024","2450000","No","","","","","","0.28","acres","","","3033 3rd St","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/2800-Kalmia-Ave-APT-C311-Boulder-CO-80301/13238426_zpid/","","Condo for sale","Condominium","98","08/29/2024","379500","Yes","19500","11/08/2024","888","sqft","427.36","","","2","2","2800 Kalmia Ave C-311","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/44-Deer-Trail-Rd-Boulder-CO-80302/13196730_zpid/","","House for sale","Single Family","99","08/28/2024","1049000","Yes","1000","12/03/2024","3062","sqft","342.59","2.27","acres","3","2","44 Deer Trail Rd","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/198-Puma-Dr-Boulder-CO-80302/98959069_zpid/","","Lot / Land for sale","Lot/Land","99","08/28/2024","175000","No","","","","","","2.68","acres","","","198 Puma Dr","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/695-Manhattan-Dr-APT-216-Boulder-CO-80303/13229680_zpid/","","Condo for sale","Condominium","100","08/27/2024","399900","Yes","15100","11/14/2024","880","sqft","454.43","","","2","2","695 Manhattan Dr UNIT 216","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/2122-Goss-Cir-E-Boulder-CO-80302/440716445_zpid/","","New construction","Single Family","101","08/26/2024","2795000","No","","","4721","sqft","592.04","0.26","acres","5","6","2122 Goss Cir E","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1707-Walnut-St-APT-104-Boulder-CO-80302/2095764826_zpid/","","Townhouse for sale","Townhouse","104","08/23/2024","1195000","No","","","1230","sqft","971.54","","","2","2","1707 Walnut St UNIT 104","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1707-Walnut-St-APT-105-Boulder-CO-80302/2072095225_zpid/","","Townhouse for sale","Townhouse","104","08/23/2024","750000","No","","","800","sqft","937.5","","","1","2","1707 Walnut St UNIT 105","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1707-Walnut-St-APT-101-Boulder-CO-80302/2101482080_zpid/","","Townhouse for sale","Townhouse","104","08/23/2024","1089000","No","","","1149","sqft","947.78","","","3","2","1707 Walnut St UNIT 101","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/1707-Walnut-St-APT-210-Boulder-CO-80302/2102153832_zpid/","","Condo for sale","Condominium","104","08/23/2024","699000","No","","","800","sqft","873.75","","","2","1","1707 Walnut St UNIT 210","Boulder","80302","CO","USA"
