Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/703-Dellwood-Ave-Boulder-CO-80304/13216335_zpid/","","Single Family","1150000","10/18/24","2029","sqft","566.78","8601","sqft","3","3","703 Dellwood Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/6095-Old-Brompton-Rd-Boulder-CO-80301/13224310_zpid/","","Single Family","1900000","10/18/24","4400","sqft","431.82","0.25","acres","5","4","6095 Old Brompton Rd","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/3870-Campo-Ct-Boulder-CO-80301/13239783_zpid/","","Single Family","1191400","10/18/24","3130","sqft","380.64","5381","sqft","3","4","3870 Campo Ct","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/805-29th-St-BUILDING-N-562-Boulder-CO-80303/351357769_zpid/","","Condominium","605120","10/18/24","1426","sqft","424.35","","","3","2","805 29th Street Bldg N  Unit 562","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/3250-Oneal-Cir-APT-J15-Boulder-CO-80301/2061949851_zpid/","","Townhouse","362000","10/18/24","931","sqft","388.83","","","2","2","3250 Oneal Cir UNIT J-15","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/865-Circle-Dr-Boulder-CO-80302/13178978_zpid/","","Single Family","2735000","10/17/24","6565","sqft","416.6","0.31","acres","6","5","865 Circle Dr","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/602-Maxwell-Ave-Boulder-CO-80304/13182105_zpid/","","Single Family","2650000","10/17/24","3635","sqft","729.02","2969","sqft","3","4","602 Maxwell Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1063-Mapleton-Ave-Boulder-CO-80304/13177703_zpid/","","Single Family","1815000","10/16/24","3107","sqft","584.16","3857","sqft","4","4","1063 Mapleton Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/1425-Dellwood-Ave-Boulder-CO-80304/13183221_zpid/","","Single Family","875000","10/16/24","1392","sqft","628.59","7070","sqft","3","3","1425 Dellwood Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/415-S-42nd-St-Boulder-CO-80305/13188083_zpid/","","Single Family","1149000","10/16/24","2500","sqft","459.6","7630","sqft","4","3","415 S 42nd St","Boulder","80305","CO","USA"
