Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/405-Pearl-St-Boulder-CO-80302/13177181_zpid/","","Single Family","888500","10/29/2024","1575","sqft","564.13","4068","sqft","3","1","405 Pearl St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/675-Dellwood-Ave-Boulder-CO-80304/13183523_zpid/","","Single Family","1800000","10/29/24","2558","sqft","703.67","7483","sqft","4","3","675 Dellwood Ave","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/910-36th-St-Boulder-CO-80303/13185725_zpid/","","Single Family","739963","10/29/24","945","sqft","783.03","7187","sqft","3","2","910 36th St","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/3390-34th-St-APT-A-Boulder-CO-80301/13189629_zpid/","","Townhouse","485000","10/29/24","780","sqft","621.79","762","sqft","2","1","3390 34th St UNIT A","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/3109-Bluff-St-Boulder-CO-80301/335666827_zpid/","","Condominium","1150000","10/29/24","1953","sqft","588.84","1","sqft","4","3","3109 Bluff St","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/890-Cypress-Dr-Boulder-CO-80303/13199126_zpid/","","Single Family","1875000","10/28/24","3870","sqft","484.5","0.33","acres","6","5","890 Cypress Dr","Boulder","80303","CO","USA"
"https://www.zillow.com/homedetails/3003-Valmont-Rd-LOT-110-Boulder-CO-80301/13261935_zpid/","","Manufactured","47000","10/28/24","980","sqft","47.96","","","2","1","3003 Valmont Rd UNIT 110","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/3315-Chisholm-Trl-APT-103-Boulder-CO-80301/2106667850_zpid/","","Townhouse","300000","10/28/24","798","sqft","375.94","","","1","1","3315 Chisholm Trl UNIT 103","Boulder","80301","CO","USA"
"https://www.zillow.com/homedetails/2035-Glenwood-Dr-Boulder-CO-80304/13178222_zpid/","","Single Family","2300000","10/25/24","2817","sqft","816.47","7640","sqft","4","3","2035 Glenwood Dr","Boulder","80304","CO","USA"
"https://www.zillow.com/homedetails/626-14th-St-Boulder-CO-80302/13180812_zpid/","","Single Family","1350000","10/25/24","3067","sqft","440.17","6687","sqft","3","3","626 14th St","Boulder","80302","CO","USA"
"https://www.zillow.com/homedetails/2221-Columbine-Ave-Boulder-CO-80302/13181422_zpid/","","Single Family","823000","10/25/2024","1593","sqft","516.64","6847","sqft","3","2","2221 Columbine Ave","Boulder","80302","CO","USA"
