RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2640.1798933822197,2655.676135098434,2669.086517498323,2683.193978237082,2691.2180275356136,2697.1897373073116,2700.76997466313,2707.7287504495744,2718.01821318023,2728.289101906894,2734.285178715198,2738.5786210090846,2740.342506064783,2743.3531362594345,2743.68507493547,2742.4824284391098,2742.202576888204,2743.3748260194925,2749.938433802597,2754.2344914053583,2759.6483303317664,2764.5809922304984,2772.2693846273946,2773.7228368275205,2774.9555131828456,2773.46194903704,2776.025595347945,2777.644826242754,2782.1765491569677,2786.1992689413137,2789.213779163381,2789.779361991706,2786.6377620095577,2782.4895005753488,2779.6350683027717,2782.9370539785396,2790.274411836106,2796.7120676386753,2803.4499615642208,2810.9379857797758,2816.7454291877348,2821.4678703503328,2825.7848607396736,2832.6662328499433,2840.70065616287,2846.0971898495804,2854.2019397283593,2860.6680010418218,2868.48925345985,2874.1666587069653,2880.05813625562,2886.658992765741,2893.7109735876784,2902.1903672417575,2911.1011203844337,2920.137095241355,2930.378416965055,2943.8251123410023,2954.8159297320885,2966.034469511995,2975.0560341732116,2987.4923424253457,,,,,,,,2625.3834361001796,2602.5345849168066,2596.1504917012066,2593.778906186911,2600.3785252147227,2614.4287891745307,2641.8901450361645,2682.5631082585296,2736.504685347488,2800.892700830452,2874.2151443407056,2948.981465625683,3012.533948869126,3073.7875982217793,3121.2959401612106,3162.624439796142,3192.0044033543904,3220.962475909942,3248.8961950827115,3282.4010102964403,3316.8155938908326,3349.1245243622047,3376.4861022340183,3396.2891183892384,3406.7476998971874,3412.5990188359337,3418.9672774362707,3428.253820497573,3434.218092073542,3438.657934203313,3447.567134817047,3456.045283089579,3465.435420772991,3471.399520081208,3477.957788103059,3487.887574907386,3494.7381078783114,3508.291526379165,3523.8292707567825,3538.1680488148363,3557.463754597867,3575.0364705477923,3585.4211390980263,3589.1798310642293,3587.7141843787117,3586.4785912649704,3584.592277880836,3582.4781285136446,3588.0094701522703
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1850.292601047511,1860.9063083121496,1872.5758386373777,1883.3318775664711,1897.0400491463631,1907.807481342504,1920.2400808602156,1931.8959723594153,1952.390825185082,1966.708251151593,1978.9334063916579,1987.5749246995265,2000.2714519320482,2016.1868598351477,2027.8540826612682,2036.101735381748,2048.0266790981914,2063.081318570346,2074.1637973770103,2075.5993865722107,2078.773922815855,2087.486892968496,2098.165451026169,2109.4123834934917,2122.8758864280226,2133.293369980098,2151.666388018484,2162.648889493793,2173.7988206649384,2179.657908529723,2188.9995133737516,2199.5491626512808,2205.4957482420928,2215.315908117556,2227.8148455592977,2240.670859458605,2251.6351407123066,2263.197152393647,2266.582798863882,2272.738443438491,2274.74225307266,2286.9625475046705,2297.1080954004406,2310.4050541922275,2321.052308013715,2329.4313414652224,2337.9019928104817,2345.3279446011047,2352.2060121857544,2353.226966090189,2361.0270058336287,2370.9221668000364,2382.7770489645454,2388.3043615527367,2394.0679916443173,2398.4048562589264,2405.9898193936556,2411.972521367896,2415.8179413113216,2419.9845508340086,2424.6300189762896,2433.685014660256,2425.049315864212,2415.644113661138,2398.807246324204,2383.671234848693,2372.0765434449745,2358.429184529405,2345.9177361037146,2340.2257742619186,2341.19605505736,2341.5178485005003,2345.949606294004,2346.8366845972414,2355.7021492486115,2365.118377634353,2384.8798383067783,2412.224648969985,2445.7865910055684,2485.4047039684833,2521.388017992964,2552.258054475769,2577.7179345891955,2605.3369731663797,2628.4898079798118,2651.9596308154128,2666.2149355897836,2689.1767943161362,2710.093021313744,2730.2266355067395,2744.2094079422423,2753.172259628577,2762.992442807997,2766.3490969733434,2772.502359564756,2776.4641593990195,2777.6351677708444,2780.7844492822305,2786.0485952590843,2792.0935636832032,2790.184872689305,2784.884304808296,2779.08869274117,2780.32010952342,2781.6876309014474,2785.3160309956374,2788.141321449995,2791.3271103873362,2797.565547165589,2802.2778428386555,2808.007932006991,2808.5257757625714,2813.676710108306,2819.845353150823,2827.8336636037943,2831.6227130359416,2835.6605547008917,2841.9047756451096
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1216.042359491585,1219.4413197485192,1223.001545397633,1222.8997088856088,1224.113627318308,1226.1275481226442,1229.0628495959515,1233.4293107589551,1233.9104133095573,1235.8111565986446,1237.0480567459401,1238.3914867640024,1240.7756752385665,1240.666146412388,1244.7605803872832,1245.2778575545117,1242.7354510876214,1240.3871209471602,1241.067007286123,1243.2591337804065,1241.6763460378863,1240.9911644432987,1237.9294463204208,1236.9362821180007,1237.5076675127175,1243.3769941113217,1249.3555320353107,1248.863823841411,1251.816336028704,1250.390983487069,1252.163285732407,1250.024776302351,1260.4699522713452,1270.8213448995348,1284.7224076989862,1293.9681242413242,1298.1692052625988,1303.0221305760513,1299.8579330940734,1304.5581873775664,1302.7989965540573,1306.6592760972599,1307.1391909090685,1309.2093012481412,1308.8945862732648,1311.244278090392,1313.6385166347977,1313.5359450009353,1314.1602521342186,1309.9949731291981,1314.5571356649846,1317.0964227345812,1323.3785549989607,1327.3408304786774,1331.6296914208176,1336.2213219779192,1337.2817154711431,1336.3167679823885,1334.3165002982662,1336.3647535453294,1340.172830292836,1346.4535164897952,1354.0935628555421,1349.1069597929443,1338.6821327313794,1325.296441254155,1323.3652792485318,1323.4618267986018,1325.5708820436014,1329.6579207147581,1334.1520860191836,1336.7557842489996,1338.8476203652942,1339.5920091007536,1344.721469784138,1356.47923527327,1373.8681744828639,1397.20471641138,1416.7263556138553,1436.445932775428,1453.1239709570343,1465.1849958138225,1475.194271651972,1480.312761450363,1488.530478224734,1497.2649352084975,1505.9196344676982,1514.686654129228,1521.9139376091778,1530.1552263445553,1535.402395510289,1538.6241640046294,1540.9647648476853,1541.6699788393569,1543.0760901999188,1547.165828415534,1553.3806020411807,1560.7815871058992,1568.5114358527135,1570.443324928378,1572.935670736499,1572.812196360395,1575.918594045124,1576.0593042829776,1576.3341740542396,1578.3762319820205,1583.7070992015301,1589.451114000315,1591.9398988359392,1593.2182166639457,1593.3165985452104,1596.4154392951018,1598.7712564608382,1601.4402562132975,1603.69142631223,1609.121749789546,1615.4576390569366,1622.0903952906763
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1500.4950566840014,1501.0209431560659,1505.342775674649,1509.7470377099455,1516.3895871851146,1519.7146287255803,1522.6567337292356,1527.0250695668296,1531.8319009251409,1538.6068623199544,1543.5847788280764,1548.3498925909953,1553.4964723399971,1556.969733498313,1559.8187741745726,1559.612189404119,1559.8970192440836,1563.5387465991914,1569.4623545333884,1577.3178909799349,1580.6734912276077,1582.8438390698195,1581.3337554845482,1580.5347572332741,1581.877210015105,1589.0967831535122,1598.048159865161,1604.360640294011,1608.2790664260156,1608.6356689831448,1609.2870923620335,1606.9032640308385,1610.7932282039974,1612.470920192325,1617.5273070869866,1620.4726979808936,1623.2215839095563,1626.771785134836,1627.2463228123893,1630.491268396687,1633.1792070571485,1638.6404599774376,1642.6736690124949,1644.2647224459997,1643.0441580297495,1643.5814188155055,1647.2202339932128,1655.3622689747374,1661.3880770999249,1664.1626000687052,1667.234173986197,1670.1740810484418,1674.6432847109913,1678.1518353225824,1682.3030996008488,1689.4702181708826,1696.7458128382486,1704.0302876526107,1708.1397337870842,1709.7408460010256,1712.7815916982247,1716.9474655613753,1719.6386067493545,1707.6894401452985,1694.011000425354,1682.239709143142,1675.8751153072008,1668.1422354195963,1658.413503002557,1643.5176283825983,1631.7802011670271,1627.1002609469363,1625.3654338178217,1631.7228491659935,1640.1286861301069,1659.8310929777426,1678.502641494225,1697.9725012168335,1712.5406485015296,1727.8911519989067,1743.7594913667367,1761.1255615690586,1776.5603262118925,1790.9085902028735,1804.1931884372143,1813.0689690792976,1823.4069061792354,1834.2898218634195,1847.7169085161188,1857.9869853365483,1870.5015742463518,1881.6695858337484,1895.1283355035412,1908.2877691562699,1923.1453105718579,1931.2509135039031,1938.3788493346146,1943.4582908660432,1951.2612154080373,1955.1760158439758,1963.7198513900873,1972.5552479601758,1981.499060670957,1991.6257522781973,1996.4724500982652,2000.4170299842165,2006.0308120685452,2015.9356485092358,2026.2683722630818,2038.4536042237578,2047.157228560773,2056.1664591037643,2060.3865893001434,2065.646727716011,2070.5304904989175,2074.954361298603,2082.144937289632,2089.81813272222
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,1011.6496047242243,1014.3882654023348,1017.7830999401872,1021.0781583608662,1026.0623091699638,1029.9241972552604,1032.59127185655,1032.1347760074557,1034.8684799131972,1042.2423086558647,1047.2386956845933,1052.3924893859971,1053.6684917942089,1056.7022794121672,1058.4348532970162,1062.2054749729757,1064.852059082331,1066.3202500998807,1068.6172231995065,1073.843615804359,1079.5096889028673,1081.0762028516674,1084.7622663265565,1086.7264127097505,1093.0342287098845,1096.2944608528753,1100.7813885677551,1102.8451384649973,1104.7031952894342,1109.2541688267377,1111.6626679997842,1110.6417961980576,1110.2371192063472,1110.7694332319218,1113.8448816086063,1116.9642975836562,1119.5726223051554,1122.6429491312665,1125.1499765625254,1127.1868493719446,1130.1565860145402,1132.5665497428045,1137.6469333654834,1140.9984630429055,1143.7671016197992,1147.4715312920293,1152.7577524775681,1155.8319626064329,1158.3588183567838,1159.5036987663816,1162.2837902777849,1166.2312229370548,1169.7595535262203,1172.6900155310434,1174.4315884133957,1178.6631837817567,1182.8208036881945,1186.5139602274203,1187.3832718938563,1190.322922404488,1193.1723671043483,1197.4558412916444,1199.305411279953,1197.8572134188107,1193.504300472437,1191.3097519749228,1192.3065565876918,1192.3169323709722,1195.019776369162,1198.6551482536468,1206.8259316169224,1214.0150026319022,1219.5461276273234,1222.9897727619045,1228.1645048502808,1240.6254887432358,1255.9193637718968,1274.521582999365,1293.0128093457313,1315.5709181088225,1335.731035967706,1354.0460078305039,1367.2497435922103,1377.649248479064,1384.841967954767,1394.7543933683608,1404.2537647487275,1414.0937096532568,1423.6991738339352,1431.792524065895,1439.6144125127464,1439.8225820067055,1439.9097752420619,1437.3641965278298,1436.1853280347364,1436.5825274224107,1442.9608819996954,1446.294519939763,1450.7917078233913,1447.6748416927542,1447.7880517385865,1443.1397773522463,1439.1327225829582,1436.1841554186526,1435.2855781410262,1438.6945620700499,1440.3281544019028,1441.7649441524827,1440.0425311624106,1439.0820573910944,1436.686677517896,1437.856255750753,1435.8521788714615,1437.0303207690413,1437.5199172142154,1439.6685007124586,1440.4462909781653,1439.2184458811432
13271,5,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1187.7769737392694,1192.170637085456,1201.5593662760175,1202.67489633113,1206.7252427647995,1207.1471631998738,1213.3404672152476,1215.5203585847576,1218.4130236036053,1223.2453630448204,1223.3732491235821,1226.115430806559,1222.409287562825,1229.2634930817628,1231.968028450243,1237.8425097870763,1240.9433845091594,1246.2121298817742,1249.4348433204668,1252.9725669092372,1254.9985669199132,1257.2221830073656,1264.4556323997638,1268.1716988443457,1272.608919838911,1272.9755951871036,1276.2917992201951,1280.2001215232958,1281.5025101719348,1282.74695018485,1285.533220824665,1288.6666724970046,1293.2576372324615,1295.1830454326537,1296.7965029723039,1303.0008256501892,1307.1715861827513,1311.7340448018506,1313.8717911510048,1318.3808890842313,1324.9795452628355,1326.6625011304568,1327.1203468112628,1330.369562614744,1335.6070769681803,1343.4784356812297,1351.642022095326,1353.184503169363,1357.8127104452822,1359.184668764676,1364.595413053684,1367.4792702422208,1370.541856198084,1377.148179911788,1384.1879046316458,1388.956637470736,1391.7321969096706,1393.648095639223,1394.6244757320908,1399.1056373406539,1402.3604737226497,1408.485074885954,1410.887386948881,1410.0580377046385,1405.9861766872498,1403.8817918547009,1405.4294978401365,1405.5876558379784,1407.5581509228193,1405.9276965551198,1407.4091097895744,1408.3013438343482,1412.6226420271228,1416.374375311325,1419.6415257327385,1428.7986330043948,1442.552463152985,1455.0973576321417,1467.1910670740551,1480.982677936309,1489.3631823941357,1502.79364403118,1513.9742059699413,1534.406503418107,1543.4611869522764,1549.3057853175285,1553.6970137968792,1561.8853741279331,1571.6648831228333,1581.5260469528043,1587.1250880025716,1590.496443767809,1594.3330392482083,1594.3790336009658,1596.6423251425565,1595.7210105245827,1601.2304904797584,1604.6176835699064,1610.6307380460512,1615.500680477477,1618.694856947089,1620.404706200673,1622.9560598173277,1625.874963415453,1632.619684691247,1639.645201365525,1645.6462431322075,1649.3200370674035,1652.8877996082954,1659.483502519206,1664.8908742855183,1667.9715327392998,1670.5838624604082,1674.505705989565,1679.8107176962008,1685.4847743079679,1688.9205993746139,1692.870591225363
40326,6,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,852.4009426324948,860.9101082695166,864.5698399509695,870.685702595009,871.9498075778507,876.6130704478483,880.9730370269546,886.6410806143274,893.766672260843,899.4201784401166,905.1268152953967,908.3586218563573,914.7347549085597,916.7300581275581,921.2328348200714,924.4672390801252,930.6583402207486,936.0860104586021,939.6211863556437,942.9282160685545,946.7055006636589,950.6077256927039,955.9713347998122,960.5577956691665,966.3454583212182,972.9576713322662,980.0200340755746,986.8903083980705,994.3422725278225,999.0117153175784,1003.2221944811122,1006.7625180512713,1009.7897876239258,1015.2800313477638,1019.7342072627265,1025.8473065772762,1030.6052641736976,1035.3932752901283,1043.739263383572,1050.3125524542445,1058.4213342491016,1063.9290666503107,1072.6592985760135,1081.5511888996978,1093.1490434717894,1103.0713755759987,1110.3351027301874,1115.682405621823,1120.2415025759672,1129.8918679217013,1134.9261761711082,1142.0684681659484,1147.5342883343785,1156.9976137154663,1164.8499520466949,1173.2350696197582,1179.8225000705659,1186.7705433366223,1196.3736619602541,1207.2457824596927,1219.4785499831094,1227.9327267755245,1230.8533956001222,1230.3616328243013,1228.8875206008308,1229.6053451613473,1235.4490651558383,1245.2873163891152,1256.5338744699839,1270.1767941637788,1281.3312209644664,1295.6055420354178,1310.2802848498338,1325.5887412561026,1345.1097337704257,1372.7001231689378,1408.5137412992053,1444.614616251795,1483.0486026104925,1519.4282172261921,1553.4395328858595,1577.1975832598976,1595.80521046337,1611.377070694256,1627.4084189452326,1639.7360948329906,1649.3353227555565,1655.369667236869,1659.7177563653509,1664.5228331350709,1666.352921522799,1665.8165807034272,1660.9199750631365,1659.8376239694055,1662.9540459761936,1668.485722947977,1667.850041751461,1665.620537590201,1667.828893448417,1669.859051590388,1671.012420939023,1667.9385625983414,1665.6591322468898,1662.0124410684155,1663.1714859040128,1665.8046498931146,1667.0163813238419,1666.2625224425406,1668.979636538764,1673.8099358704155,1674.9053758466227,1675.4169157317765,1674.9679333467889,1677.0049844112805,1678.8284052294682,1682.835847225365,1685.399638754012,1686.7881643477012
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,978.0892388747885,982.2929221711295,985.358676464972,989.226528020157,993.0385712989442,996.1014020993841,1000.529623502398,1003.6505057904442,1010.0476559783662,1013.2347105416609,1017.971009993222,1020.215650554784,1024.24319141541,1026.2364625397554,1027.9141910552937,1029.8904665080672,1033.8984978965432,1040.3052952719431,1043.7422207967938,1047.963048299532,1050.3367849052645,1056.7552948973648,1060.6966762220677,1065.0543467143164,1070.1222565872595,1077.1440103000723,1085.1830979595336,1089.9169113769246,1093.8183959873422,1098.4143691217844,1104.0547921054651,1110.3532919436982,1116.1913573646198,1121.5233528604538,1127.8323335039802,1135.8079287226137,1142.4068627796294,1148.9458100658017,1154.01050234426,1163.388703108357,1170.7402098630378,1177.5139053421567,1184.8176681980158,1190.9344039850084,1199.1394438371399,1204.458988644039,1211.806689750691,1218.463198250912,1226.154589155551,1230.3046198990671,1236.7870105287068,1241.465613010204,1247.751076110894,1253.575426096884,1259.0010656064785,1264.814143208039,1269.4399998356964,1275.7198523586874,1280.2698637864144,1284.3464982329872,1287.9751112291033,1293.9164408161005,1299.0655411982614,1298.2285192215309,1290.7440499827335,1286.2657020166885,1290.7165518516597,1300.2717472531544,1315.0475484715337,1330.9092773783914,1347.5028694859793,1362.5344371209221,1378.6288177107651,1394.626852620876,1411.428660379633,1428.365754500588,1462.0487684276052,1503.8877308700175,1550.0993460552118,1592.820077291491,1629.1866431511967,1659.1507840494173,1676.4376922977806,1689.4609183987352,1701.1501416529227,1710.2630461914894,1715.058897617085,1726.396111847463,1731.4158395024056,1737.5405783889282,1737.3268192197195,1727.0485876723358,1713.670284111657,1695.8683421526098,1689.7156044088454,1687.862550993695,1692.9861343103198,1699.9828187786215,1706.700790394712,1708.3652523848561,1706.5793173309369,1700.9737285956262,1701.162103662606,1700.4676344939437,1704.2423260544401,1712.7318363616132,1720.529428234125,1726.864242296296,1727.6714125316967,1727.544029684787,1729.0449152772883,1731.1901936689123,1735.1641305091232,1739.6709278318178,1741.6062440485878,1749.5994463052516,1756.8008997146885,1763.7341895508514
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1728.1682381960732,1740.5956030976995,1746.5009155004439,1748.018478983334,1755.9273350594956,1758.6081328009216,1772.541597367432,1784.8593191964812,1798.6954445475176,1808.5626796081126,1817.6143238786126,1829.3633910776034,1839.3316957839572,1841.5515389436468,1847.013227073236,1850.0090115904718,1857.1626111279588,1870.6951381700135,1879.187139567804,1888.174908125662,1892.4857932976026,1904.6486678262556,1914.240925834933,1921.8028617127711,1925.4718462249011,1940.3961554120208,1954.7433595654904,1972.9082456953713,1980.7238110326361,1991.489969480837,2001.428892311933,2008.8151279839533,2015.2575739044387,2017.8293155245797,2027.6959492812393,2032.5707204243367,2045.9779788959738,2056.3863935279824,2069.150361845278,2075.601065020701,2086.494706503253,2092.0724666981905,2100.205719233529,2106.774770697282,2118.225823800484,2127.476103060557,2130.9937419285848,2139.132745264734,2144.546745694211,2151.4385555356566,2153.0815117194193,2158.5095121468844,2164.633079891387,2172.1881030028567,2178.8085498313976,2187.7579520913428,2194.176527254101,2202.6248547541795,2212.2710116957255,2221.180901886105,2228.740789763778,2234.542322495464,2231.0582771612794,2220.805674402122,2208.9540289770453,2201.5173874350467,2201.86328509967,2201.032002838786,2205.0997336398927,2221.300837182184,2244.247584323986,2261.5287504556995,2279.95477602602,2292.8635270473287,2314.5952256134024,2338.646729346354,2372.891983105498,2404.87448356062,2447.082304031628,2493.5965433977003,2552.492344649451,2596.802018879096,2637.843871313134,2666.184172695926,2693.1657299207363,2723.6041947635395,2752.1905503696134,2791.3184959390846,2821.697672642031,2857.8964072880376,2879.0313156688467,2904.516172077084,2910.9106304503825,2914.179094923655,2914.1162160269205,2924.0797006946827,2936.9582436689,2947.19273828099,2960.612244095468,2968.440639484343,2984.7711876601034,2992.931746263984,3000.5715891893833,2998.9768015404197,2997.511921140201,2997.0909849082186,3008.0480812852534,3018.030792425755,3024.860445037084,3031.9327254331297,3034.0955497573786,3033.662603984605,3027.5919213037846,3024.3129896139217,3025.263697210892,3029.186734084026,3038.2339138349143,3049.7876378677133
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1066.6333300032668,1071.0723544735656,1077.8744733247772,1087.4916342208955,1096.2237354236481,1102.277619544498,1108.8852870355065,1114.227061791116,1120.3370677470973,1125.4417911295025,1134.7438566386038,1142.8381278394613,1147.6738573606956,1151.9718498558732,1153.5802089907274,1162.3274206775154,1164.0315728976352,1170.9856995269595,1171.6900826427056,1178.3814174981526,1186.0105610681376,1197.3524849271912,1202.4532821513978,1208.4606691459605,1213.6839871198,1216.806522802719,1227.8000689973553,1233.7774763357102,1244.117482439086,1240.3104296222816,1243.0608567028928,1243.5021498508456,1249.211201733733,1248.0355718995474,1257.8734797135567,1263.600377899432,1269.6892611176552,1277.0287984951146,1275.8147347710737,1276.3760951524434,1272.790465585498,1280.441069076115,1286.6098810370077,1290.6134508455757,1287.968869693782,1293.7953241743276,1296.4172753384494,1304.91956754268,1308.632438645741,1310.6835416777715,1316.6444696170133,1321.7742707950506,1329.1526968436299,1333.315900930597,1336.2821071644762,1340.3376556137896,1346.2720705807487,1347.9482086843705,1347.4652610557291,1343.95926214382,1343.8565659769429,1344.4379324537088,1355.2079643630143,1349.8713716068858,1343.3124667002537,1331.415292811897,1327.9043124809182,1327.1204973111962,1332.2148594668622,1338.6319915853828,1344.84449812573,1352.9884900324073,1357.4881248818274,1365.3293647026833,1372.2941882078892,1387.9702205823928,1407.4465583293675,1430.5229486179667,1456.4886053425885,1481.469880429955,1505.0655409155333,1526.2807979504976,1546.1945167431847,1566.5048201689656,1581.361447630659,1597.915337477555,1606.48989013292,1625.1271161337006,1639.6080647817673,1663.7602351238493,1674.2736126166878,1678.7420104294433,1677.2070774322171,1669.106862362977,1669.317375842732,1666.358174025521,1669.7945403514323,1669.8200193941013,1678.098445918092,1681.6718483871828,1681.6210290124345,1671.5132906708232,1665.7647418437464,1662.2853171517609,1665.328656153991,1669.447604012549,1670.645666262705,1672.9929245709452,1673.0330112668355,1673.2298596095068,1670.5953319279506,1664.383330498016,1661.6732489312922,1660.856734781138,1662.0165575732326,1664.0079402221977,1663.4783051265547,1664.9877804600812
